congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.358,0.461,-169.12083,0.80119,763,69,,0.52,0.388
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.392,0.401,-28.48613,0.96454,789,11,,-0.43,0.384
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-90.42097,0.88244,723,31,,0.346,0.672
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.651,-0.44,-141.39059,0.83892,805,54,,0.772,-0.337
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694,42,,0.702,0.194
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.704,-0.018,-100.99034,0.87971,788,41,,0.669,0.085
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.372,0.589,-119.54966,0.85391,757,45,,0.449,0.499
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.021,-225.02682,0.74602,768,84,,0.336,0.085
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.255,-23.16701,0.97036,770,9,,-0.594,-0.543
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.165,-0.007,-46.96804,0.93634,714,19,,-0.369,0.401
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.68,-0.422,-117.66671,0.85551,754,43,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.583,-0.313,-200.98769,0.78002,809,96,,0.521,-0.312
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.45,-0.014,-21.37659,0.97357,798,11,,-0.431,0.046
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.883,-0.469,-94.22602,0.8881,794,30,,1.0,-0.03
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.19,0.15,-44.24628,0.94613,799,14,,-0.333,0.404
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.598,-0.033,-107.60155,0.87311,793,50,,0.591,0.019
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.313,-0.048,-20.24806,0.97528,809,8,,-0.313,-0.042
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.421,0.495,-87.21687,0.88966,746,36,,0.508,0.518
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.355,0.579,-70.09121,0.9172,811,26,,0.382,0.599
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.449,0.23,-93.47537,0.89037,805,35,,0.421,0.337
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.55,0.308,-77.07,0.90772,796,31,,0.557,0.395
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-1.1409,0.98336,68,0,,-0.399,0.23
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.129,-14.93356,0.98171,809,4,,-0.427,-0.005
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-15.76482,0.98049,800,4,,-0.341,-0.007
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.449,0.217,-81.31092,0.90347,801,30,,0.462,0.366
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.136,-13.18719,0.98338,787,5,,-0.523,-0.037
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.192,0.463,-98.25477,0.8847,802,35,,-0.373,0.757
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.434,-0.161,-28.39948,0.96529,804,9,,-0.42,0.083
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.262,-0.152,-20.28839,0.97455,787,8,,-0.428,-0.167
116,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.458,0.217,-94.28833,0.88736,789,41,,0.424,0.371
116,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.38,-0.44,-41.57311,0.94764,773,9,,-0.316,-0.227
116,House,20903,71,4,CA,200,,,"McCLINTOCK, Tom",M001177,1956,,0.717,-0.474,-174.66644,0.80186,791,96,,0.645,-0.386
116,House,20955,71,27,CA,100,,,"CHU, Judy",C001080,1953,,-0.487,-0.377,-16.15814,0.98023,809,6,,-0.437,-0.42
116,House,20958,71,3,CA,100,,,"GARAMENDI, John",G000559,1945,,-0.309,-0.091,-31.45364,0.9613,797,8,,-0.303,-0.032
116,House,20963,71,50,CA,200,,,"HUNTER, Duncan Duane",H001048,1976,,0.539,0.085,-124.54558,0.79736,550,57,,0.637,-0.1
116,House,21110,71,37,CA,100,,,"BASS, Karen",B001270,1953,,-0.586,-0.106,-16.62878,0.97858,768,8,,-0.572,-0.369
116,House,21302,71,1,CA,200,,,"LaMALFA, Doug",L000578,1960,,0.534,0.087,-122.63927,0.85553,786,52,,0.507,0.083
116,House,21303,71,2,CA,100,,,"HUFFMAN, Jared",H001068,1964,,-0.427,-0.543,-27.74399,0.96527,785,10,,-0.428,-0.684
