screen_name	user_id
barackobama	813286
nytimes	807095
schwarzenegger	12044602
algore	17220934
maddow	16129920
foxnews	1367531
mittromney	50055701
mmflint	20479813
jerrybrowngov	19418459
sarahpalinusa	65493023
current	14173084
glennbeck	17454769
karlrove	18791763
keitholbermann	130617778
ronpaul	287413569
speakerboehner	7713202
reppaulryan	18916432
joebiden	939091
nancypelosi	15764644
govmikehuckabee	15416505
megwhitman	20733756
heritage	10168082
obama2012	15667802
ricksantorum	58379000
thehermancain	28587919
johnboehner	5357812
limbaugh	22047070
democracynow	16935292
repronpaul	76966145
thedemocrats	14377605
thinkprogress	55355654
occupywallst	335369838
hrc	19608297
michelebachmann	18217624
governorperry	18906561
dwstweets	115979444
clintontweet	75069067
sensanders	29442313
gopleader	18891923
gabbygiffords	44177383
govgaryjohnson	95713333
alfranken	7334402
allenwest	237403203
dccc	14676022
clairecmc	16160352
timpawlenty	23134068
senate_gops	14344823
senatorreid	16789970
repweiner	84388888
darrellissa	22509548
chuckgrassley	10615232
elizabethforma	357606935
scottbrownma	26820275
tomcoburn	18216752
sengillibrand	72198806
nrsc	5693842
nrcc	5496932
chuckschumer	17494010
repmikepence	15985455
thadmccotter	8542882
gopconference	15207668
housedemocrats	43963249
russfeingold	16742806
jaredpolis	15361570
orrinhatch	18170310
keithellison	14135426
alangrayson	41017380
senatedems	73238146
johncornyn	13218102
dennis_kucinich	15022633
markwarner	7429102
jasoninthehouse	17800215
gopwhip	19739126
conniemackiv	23121519
senbillnelson	20597460
congressorg	48115928
whiphoyer	22012091
ussenscottbrown	117537998
sensherrodbrown	43910797
robportman	18915145
grahamblog	14845376
royblunt	21269970
senatorcollins	19726613
senatorboxer	15442036
kevinomccarthy	15428227
senchrisdodd	16317406
markudall	8128442
davidvitter	19028248
luisgutierrez	36948268
reptomprice	6577802
johnculberson	14904437
repkarenbass	239949176
senatorburr	21157904
maxinewaters	36686040
brucebraley	29293808
senjeffmerkley	29201047
kaybaileyhutch	133439172
repjohnlewis	29450962
senmikelee	88784440
jeffflake	16056306
lisamurkowski	18061669
clyburn	188019606
senatorsessions	47975734
jiminhofe	7270292
