screen_name	user_id	politician
_wyattstorch	109782727	0
140elect	15259328	0
2nd_to_none	842217397	0
3quarters2day	33079769	0
aacons	25770408	0
aaronrobinow	632466068	0
abc	28785486	0
abfalecbaldwin	288452305	0
aclu	13393052	0
actuallynph	90420314	0
adambaldwin	91279573	0
adamgreenpress	325118816	0
aei	30864583	0
aflcio	10069612	0
afphq	44209472	0
agcelotto	19916238	0
ahmalcolm	14465607	0
ajam	1178700896	0
ajenglish	4970411	0
alangrayson	41017380	0
albertbrooks	263292498	0
alexwagner	54208274	0
alfranken	7334402	1
algore	17220934	0
allenwest	237403203	1
allinwithchris	1286312880	0
alpipkin	25713562	0
alternet	18851248	0
amandacarpenter	14844867	0
ambassadorrice	19674502	0
ambjohnbolton	118756393	0
amnesty	16153562	0
amorc11	15886750	0
amprog	17171111	0
amyklobuchar	33537967	1
amymek	954124423	0
anamariecox	11640472	0
andercrenshaw	20209807	1
andersoncooper	15224867	0
andreatantaros	36452050	0
andrewbreitbart	18280993	0
andrewluck23	23468661	0
andywendt	11102352	0
annakendrick47	59949396	0
anncoulter	196168350	0
anncurry	20109973	0
anndromney	263758909	0
annebayefsky	342894187	0
ap	51241574	0
appsame	242618658	0
april_mg	399179578	0
arcticfox2016	101264587	0
ariannahuff	21982720	0
ariberman	15952856	0
aridavidusa	40443752	0
arifleischer	35218566	0
arimelber	15441965	0
arlenwms	20009204	0
askgeorge	7356562	0
assholeofday	1377719425	0
aterkel	15727317	0
athudd	15722673	0
austinscottga08	234797704	1
azizansari	6480682	0
bachusal06	78431501	0
bannerite	19088288	0
barackobama	813286	1
barbaraboxer	15939889	1
barneyfranken	100638300	1
barracudamama	73657657	0
bbcbreaking	5402612	0
bbcworld	742143	0
benhowe	64088396	0
benjaminspector	15891841	0
benjealous	43638469	0
benshapiro	17995040	0
bernardgoldberg	27382597	0
betseyross	33811812	0
bettemidler	139823781	0
biggovt	57428429	0
billcassidy	55677432	0
billclinton	1330457336	1
billclintonthof	942868836	0
billgates	50393960	0
billhemmer	21010214	0
billmaher	19697415	0
billmckibben	21786618	0
billmoyershq	15667291	0
billpostmus	379962842	0
billyhallowell	14282169	0
billyraybryant	878916812	0
blackrepublican	18294521	0
bloggingcaesar	41280377	0
bluedupage	41186732	0
bluegrasspundit	21044127	0
bluenredstate	552355237	0
bluewaterdays	24645354	0
boarhead1	543373179	0
bobbyjindal	17078632	0
bobg231	264268489	0
boblatta	15394954	0
boldprogressive	25704351	0
booyahboyz	361859989	0
borowitzreport	17293897	0
bosshoggusmc	22966253	0
bradaschenck	15195679	0
bradmd	24914494	0
bradsherman	30216513	0
bradthor	20748745	0
braveconwarrior	329323059	0
bravelad	16703058	0
breakingnews	6017542	0
breitbartnews	457984599	0
bretbaier	18646108	0
brithume	112047805	0
brookingsinst	151106990	0
brucebraley	29293808	1
buzzfeed	5695632	0
bwilliams	173999134	0
byronyork	47739450	0
cafalk	49388157	0
callisto1947	208083510	0
callout4	990627116	0
camanpour	69181624	0
candicelanier	107633302	0
candicemiller	15281676	1
candilissa	2987787144	0
cantwellpress	3143431748	1
capaction	15554922	0
capehartj	97474887	0
captivatingnews	292374563	0
captyonah	376388082	0
carltoddhand	42304448	0
carrieffisher	75641903	0
carrollstandard	21343653	0
cathymcmorris	17976923	1
catoinstitute	15450996	0
catwahler	88494677	0
cbrangel	21312077	1
cbsnews	15012486	0
cecilerichards	17011177	0
chakafattah	48086014	0
change	15947602	0
charlesmblow	20772763	0
charlesmunn1	379869831	0
charliedaniels	23798694	0
chasd3	42834939	0
chelliepingree	14984637	1
chelseaclinton	757303975	0
cher	124003770	0
chris_1791	312149882	0
chriscoons	15324851	1
chriscuomo	22799750	0
chrisjzullo	321774180	0
chrislhayes	4207961	0
chrisloesch	491461409	0
chrismurphyct	150078976	1
chrisrock	238319766	0
christichat	732980827	0
chrisvanhollen	18137749	1
chuckgrassley	10615232	1
chucknellis	315878798	0
chucktodd	50325797	0
chuckwoolery	462104542	0
citizensrock	271030180	0
clairecmc	16160352	1
clintonfdn	75069067	0
clintonglobal	68999404	0
clyburn	188019606	1
cnbc	20402945	0
cnn	759251	0
cnnbrk	428333	0
cnnmoney	16184358	0
collchris	20414217	0
collegedems	19824430	0
colorofchange	27793335	0
conanobrien	115485051	0
concreteczar	260920107	0
congbillposey	25086658	1
congculberson	24183358	1
conghuelskamp	233761277	1
congpalazzo	299883942	1
congressmandan	242761889	1
congressmangt	18967498	1
conservalidity	19850687	0
conservative_vw	346924655	0
cornelwest	36743910	0
corybooker	15808765	1
countdownko	242911974	0
creepingsharia	15650882	0
crooksandliars	14513611	0
crowleycnn	2995408587	0
cspan	15675138	0
cubfanbeerguy	892111028	0
cynthialummis	22831059	1
daggy1	24305174	0
dailycaller	39308549	0
dailykos	20818801	0
dalailama	20609518	0
danaperino	27311044	0
danarohrabacher	19139963	1
danjoseph78	17971747	0
darkmission1	469371578	0
darrellissa	22509548	1
davereichert	16102244	0
daveweigel	13524182	0
davidaxelrod	244655353	0
davidcorndc	15220768	0
davidgregory	20608910	0
davidlimbaugh	179245596	0
davidshuster	20480549	0
davidvitter	19028248	1
davidwebbshow	24295482	0
dawnriseth	570911869	0
daxtonbrown	288283415	0
dbargen	23195603	0
dccc	14676022	0
deanstjames	464780665	0
demgovs	38477209	0
democracynow	16935292	0
deniseromano	43626022	0
dennisdmz	113758100	0
derricktodd	21032998	0
desjarlaistn04	235312723	1
diana236	23039411	0
dickmorristweet	49140008	0
dineshdsouza	91882544	0
dloesch	7702542	0
dmashak	10207502	0
donna_west	18220818	0
donnabrazile	60919240	0
dorismatsui	38254095	0
dougdauntless	97963881	0
drdigipol	6092972	0
drmartyfox	26900055	0
drphilroe	52503751	0
drudge	247723476	0
drudge_report	14669951	0
dscc	14466538	0
dwstweets	115979444	1
dylanratigan	48847011	0
eagle_vision	73774016	0
ebertchicago	79797834	0
econjared	297067961	0
edincali	27503607	0
edistomoore	94857536	0
edshow	75052666	0
edwrather	27671624	0
ejdionne	453319164	0
eleanornorton	23600262	1
elirubenstein	440688620	0
elizabethforma	357606935	1
ellenpage	255747911	0
elmonte08	48038030	0
emfingersscout	70156027	0
emilyslist	63262233	0
ericamey2	930784507	0
ericarn4usa	20347310	0
ericboehlert	34643610	0
ericbolling	14839147	0
ericcantor	18891923	1
eugene_robinson	59031230	0
evalongoria	110827653	0
everytown	250386727	0
evilconservativ	25029390	0
ewdolan	29309901	0
ewerickson	640893	0
exposeliberals	21707592	0
ezraklein	18622869	0
f396	110863694	0
fakedansavage	313091751	0
famousquotenet	14367719	0
fareedzakaria	41814169	0
farenthold	17896154	0
fbnstossel	158769098	0
feministing	30000912	0
ffrnewsnet1	428081159	0
fiestabuckeye	169629177	0
financialtimes	4898091	0
fingersflying	50836292	0
finigoodman	212670233	0
finneyk	45671898	0
fishwithdan	80601437	0
fitzzer777	525630064	0
fladems	76027332	0
flotus	1093090866	0
foramerica	190905427	0
forbes	91478624	0
forewit	311137675	0
foxandfriends	15513604	0
foxbusiness	56413858	0
foxnation	37764422	0
foxnews	1367531	0
foxnewsalert	31540671	0
foxnewspolitics	16032925	0
franklautenberg	135297032	1
frankpallone	31801993	1
frankrichny	79366215	0
fredbarnes	15731751	0
fredthompson	2704951	0
freedomdisciple	823112684	0
freedomworks	14730894	0
ft	18949452	0
ftr__radio	19114646	0
funnyordie	15693493	0
gabby_hoffman	104342107	0
gabbygiffords	44177383	1
galtsgirl	74014041	0
garysinise	128393253	0
gatesfoundation	17899109	0
gatewaypundit	19211550	0
gavinnewsom	11347122	0
gawker	8936082	0
gaylandanderson	60699354	0
gayleking	29546945	0
gaypatriot	18244206	0
genemcvay	27789999	0
geoff9cow	21717987	0
georgehwbush	475988505	0
georgetakei	237845487	0
gerfingerpoken	96442308	0
gerryconnolly	78445977	1
ggreenwald	16076032	0
glaad	31583882	0
glennbeck	17454769	0
gloriasteinem	48269483	0
goangelo	53130511	0
goldietaylor	15862440	0
good	19621110	0
gop	11134252	0
gopathetic	15280845	0
gopblackchick	108807556	0
gopleader	19739126	1
gopwhip	2693983838	1
gottalaff	15368940	0
govchristie	90484508	0
governorperry	18906561	0
govmikehuckabee	15416505	0
govwalker	213795411	0
gr8_2b_alive	112562263	0
gracenapolitano	161411080	0
grahamblog	14845376	1
greggharper	23712174	0
greggutfeld	28628850	0
gregorymeeks	22812754	0
gretawire	2885573474	0
gstephanopoulos	17074440	0
guardian	87818409	0
guntrust	32258396	0
gwenifill	164412502	0
hardball	205864193	0
hardball_chris	48802204	0
heidil_rn	332637055	0
herb_slojewski	615687834	0
heritage	10168082	0
herrerabeutler	242926427	1
heytammybruce	22956220	0
hillaryclinton	1339835893	0
hitrecordjoe	24807616	0
hodgman	14348594	0
hollyrfisher	2996283182	0
holyfield67	379498878	0
homunculusloikm	233933230	0
housecracka	16190478	0
housedemocrats	43963249	0
housegop	15207668	0
housetransinf	2982232425	0
howardfineman	14962779	0
hrc	19608297	0
hrw	14700316	0
huffingtonpost	14511951	0
huffpostpol	15458694	0
hughhewitt	15075999	0
iamjohnoliver	316389142	0
iamrashidajones	562381032	0
iepluribusunum	378933826	0
indyenigma	16672662	0
ingrahamangle	50769180	0
inlawsoutlaws	77329593	0
iowahawkblog	149913262	0
iresistall	347057474	0
irritatedwoman	16710420	0
isheeple1	906620078	0
istook	15551300	0
jackkingston	36654245	1
jacksonleetx18	80612021	1
jacquie0415	351361539	0
jahimes	31611298	0
jamesokeefeiii	16989178	0
jamesrosenfnc	48029066	0
janefonda	18583722	0
janschakowsky	24195214	1
jasoninthehouse	17800215	1
jasonsegel	407977463	0
jdcorbinpm	115945502	0
jddickson	23205346	0
jeanniemcbride	3086155613	0
jedediahbila	60680268	0
jeffersonobama	39609732	0
jeffflake	16056306	1
jefffortenberry	18805303	1
jengranholm	14185317	0
jeremyscahill	23839835	0
jerrybrowngov	19418459	0
jerrymoran	18632666	1
jessetyler	17350250	0
jessicachasmar	89005882	0
jhartellis	212097279	0
jilevin	24733117	0
jim_jordan	18166778	1
jim_moran	47412499	1
jimdemint	9508922	1
jimlangevin	18909919	1
jimmyfallon	15485441	0
jjauthor	177584156	0
jmattbarber	22770745	0
jn3_16_21	22540858	0
joanwalsh	1106501	0
joaquincastrotx	231510077	1
joebiden	939091	1
joethepatriotic	140640762	0
john_dingell	2982226132	1
johnboehner	5357812	1
johnboozman	5558312	1
johncarneyde	237770636	0
johncleese	10810102	0
johncornyn	13218102	1
johnfromcranber	1065869268	0
johnfugelsang	33276161	0
johnkerry	15007149	1
johnlegend	18228898	0
jonahnro	71627462	0
jonathanalter	21844854	0
jonwexford	144350248	0
josephbrandon8	858921774	0
joshtpm	21268897	0
joyannreid	49698134	0
joyvbehar	32004130	0
jstines3	101395252	0
jtimberlake	26565946	0
juddapatow	88749392	0
judgecarter	18030431	1
judgenap	29216764	0
judgetedpoe	74198348	1
judicialwatch	18247062	0
juliancastro	19682187	0
just_a_texan	884304968	0
kanyewest	169686021	0
karlrove	18791763	0
kathygriffin	21148293	0
katiecouric	18812301	0
katiepavlich	48459553	0
katrinanation	59159771	0
katyinindy	20958510	0
kchenoweth	31641658	0
kdrum	18276341	0
keithboykin	21728303	0
keithellison	14135426	1
keitholbermann	130617778	0
kellyayotte	229592356	1
kennettdems	959596692	0
kenwahl1	97912404	0
kerrywashington	205302299	0
kesgardner	182251918	0
kevinspacey	27457788	0
kilmeade	43919633	0
kimguilfoyle	25101996	0
kirstenpowers	14335880	0
klsouth	32497478	0
krauthammer	27744185	0
kristenschaaled	130922325	0
krystalball	21862217	0
kurtschlichter	18089606	0
ladowd	379479080	0
ladygaga	14230524	0
lamarsmithtx21	15856366	1
laprogressive	18554720	0
larryelder	195271137	0
lastgreatstand	466090255	0
latimes	16664681	0
lawrence	158426909	0
leeterryne	18317325	1
leftoutloud	329443994	0
leftsideannie	71715641	0
lemarquand	294892027	0
lenadunham	31080039	0
leodicaprio	133880286	0
lessgovmorefun	547969112	0
lexielewis888	502067536	0
libertybritt	26344615	0
libertyjuice	118401061	0
libertyladyusa	212302405	0
libertysurfer	28918971	0
lifenewshq	50434933	0
limbaugh	22047070	0
lindasuhler	347627434	0
linnyitssn	228554424	0
lisamurkowski	18061669	1
liz_cheney	98471035	0
lizzwinstead	57917441	0
lolgop	11866582	0
lorettasanchez	108376246	1
loudobbsnews	26487169	0
louisck	2218092372	0
louiseslaughter	63169388	1
lr3031	34434801	0
lrihendry	129235890	0
lukerussert	21220931	0
mad_humor	1620539378	0
maddow	16129920	0
maddowblog	91180720	0
madicino	19511717	0
marble300	66265121	0
marchaig	89277004	0
marchilliker	143695063	0
marcorubio	15745368	1
margaretcho	16305330	0
mariodb	37094727	0
markeymemo	3047090620	0
marklevinshow	38495835	0
markos	24431892	0
markrmatthews	16814727	0
markruffalo	47285504	0
marksteynonline	270412323	0
markudall	8128442	1
markwarner	7429102	1
marshablackburn	278145569	1
marstu67	851711263	0
marthamaccallum	46681100	0
marthaplimpton	281390508	0
martinbashir	270013816	0
mashable	972651	0
mastadonarmy	127486569	0
