""	"candidate_id"	"partyfull"	"name"	"STATE"	"TwitterA"	"TwitterB"	"TwitterA_id"	"TwitterB_id"
0	69579	"Libertarian"	"Aaron Sigler"	"LA"	""	""	""	""
1	68623	"Democrat"	"Abby Broyles"	"OK"	"abbybroyles"	""	"25034727"	""
2	69576	"Democrat"	"Adrian Perkins"	"LA"	"PerkinsforLA"	""	"1284254705103917058"	""
3	69347	"Democrat"	"Al Gross"	"AK"	"DrAlGrossAK"	""	"817869452473548800"	""
4	68360	"Constitution Party candidate"	"Al Pisano"	"NC"	""	""	""	""
5	69417	"Republican"	"Allen Waters"	"RI"	"AllenRWaters"	""	"1711626067"	""
6	67552	"Democrat"	"Alyse Galvin"	"AK"	"AlyseGalvin"	""	"950838997512732672"	""
7	66283	"Democrat"	"Amy McGrath"	"KY"	"AmyMcGrathKY"	""	"2783231383"	""
8	69577	"Democrat"	"Antoine Pierce"	"LA"	"AntoinePierce"	""	"2500750611"	""
9	69284	"Democrat"	"Barbara Bollier"	"KS"	"BarbaraBollier"	""	"1179862944261312514"	""
10	56805	"Democrat"	"Ben Ray Lujan"	"NM"	"SenatorLujan"	"benraylujan"	"19318314"	"91125308"
11	68832	"Democrat"	"Ben Salango"	"WV"	"BenSalango"	""	"2460078919"	""
12	63262	"Republican"	"Ben Sasse"	"NE"	"SenSasse"	"BenSasse"	"2962923040"	"1480852568"
13	59656	"Republican"	"Bill Cassidy"	"LA"	"BillCassidy"	""	"55677432"	""
14	69233	"Republican"	"Bill Hagerty"	"TN"	"BillHagertyTN"	"SenatorHagerty"	"1152598802873880576"	"1346873610875654147"
15	68504	"Libertarian"	"Bob Walsh"	"NM"	""	""	""	""
16	69440	"Libertarian"	"Brad Barron"	"KY"	"barron_ky"	""	"1215189740955136000"	""
17	63365	"Libertarian"	"Brian Slowinski"	"GA"	"voteslowinski"	""	"34064826"	""
18	34515	"Democrat"	"Cal Cunningham"	"NC"	"CalforNC"	""	"92397793"	""
19	66340	"Democrat"	"Chris Janicek"	"NE"	"CJSenate2020"	""	"1059838349735849984"	""
20	68828	"Democrat"	"Chris Peterson"	"UT"	"PetersonLawProf"	""	"781354393773875200"	""
21	65779	"Republican"	"Chris Sununu"	"NH"	"ChrisSununu"	"GovChrisSununu"	"95943434"	"816282120767291392"
22	60997	"Democrat"	"Christopher Coons"	"DE"	"ChrisCoons"	""	"15324851"	""
23	28529	"Republican"	"Cindy Hyde-Smith"	"MS"	"SenHydeSmith"	"ndyhydesmith"	"983348251972816896"	""
24	69161	"Republican"	"Corky Messner"	"NH"	"CorkyForNH"	""	"1159825169843662848"	""
25	63133	"Democrat"	"Cory Booker"	"NJ"	"CoryBooker"	""	"15808765"	""
26	60588	"Republican"	"Cory Gardner"	"CO"	"SenCoryGardner"	"CoryGardner"	"235217558"	"20879626"
27	49396	"Republican"	"Cynthia Lummis"	"WY"	"CynthiaMLummis"	"SenLummis"	"1136711154435207168"	"22831059"
28	68738	"Democrat"	"Dan Ahlers"	"SD"	"ahlers_dan"	""	"1172922569734918149"	""
29	69164	"Democrat"	"Dan Feltes"	"NH"	"DanFeltesNH"	""	"2575826929"	""
30	68359	"Republican"	"Dan Forest"	"NC"	"DanForestNC"	""	""	""
31	64262	"Republican"	"Dan Sullivan"	"AK"	"SenDanSullivan"	"DanSullivan_AK"	"2891210047"	"1869975300"
32	68862	"Republican"	"Daniel Gade"	"VA"	"gadeforvirginia"	""	"1163837390777212928"	""
33	68829	"Libertarian"	"Daniel Rhead Cottam"	"UT"	""	""	""	""
34	69616	"Libertarian"	"Danny Malouf"	"IL"	"justdannymalouf"	""	"824439164557029380"	""
35	69657	"Libertarian"	"Darryl Perry"	"NH"	"DarrylWPerry"	""	"16561591"	""
36	69615	"Green Party candidate"	"David Black"	"IL"	""	""	""	""
37	62186	"Green Party candidate"	"David Collins"	"TX"	"dbcgreentx"	""	"1431459812"	""
38	66806	"Democrat"	"David Drew Knight"	"LA"	"ddrewknight"	""	"4872773471"	""
39	69625	"Libertarian"	"David L. Rogers"	"DE"	""	""	""	""
40	62658	"Libertarian"	"David Moran"	"WV"	""	""	""	""
41	63347	"Republican"	"David Perdue"	"GA"	"Perduesenate"	"ndavidperdue"	"1397501864"	""
42	58743	"Democrat"	"David Zuckerman"	"VT"	"DaveZuckermanVT"	""	"619377190"	""
43	65597	"Democrat"	"Derrick Edwards"	"LA"	"D_EdwardsLA"	""	"4733761320"	""
44	513	"Republican"	"Don Young"	"AK"	"DonYoungAK"	""	"2559398984"	""
45	69533	"Libertarian"	"Donald Rainwater II"	"IN"	"RainwaterForIN"	""	"1242587185280360448"	""
46	8639	"Republican"	"Donald Trump"	"AK"	"RealDonaldTrump"	""	""	""
47	8639	"Republican"	"Donald Trump"	"AL"	"RealDonaldTrump"	""	""	""
48	8639	"Republican"	"Donald Trump"	"AR"	"RealDonaldTrump"	""	""	""
49	8639	"Republican"	"Donald Trump"	"AZ"	"RealDonaldTrump"	""	""	""
50	8639	"Republican"	"Donald Trump"	"CA"	"RealDonaldTrump"	""	""	""
51	8639	"Republican"	"Donald Trump"	"CO"	"RealDonaldTrump"	""	""	""
52	8639	"Republican"	"Donald Trump"	"CT"	"RealDonaldTrump"	""	""	""
53	8639	"Republican"	"Donald Trump"	"DE"	"RealDonaldTrump"	""	""	""
54	8639	"Republican"	"Donald Trump"	"FL"	"RealDonaldTrump"	""	""	""
55	8639	"Republican"	"Donald Trump"	"GA"	"RealDonaldTrump"	""	""	""
56	8639	"Republican"	"Donald Trump"	"HI"	"RealDonaldTrump"	""	""	""
57	8639	"Republican"	"Donald Trump"	"IA"	"RealDonaldTrump"	""	""	""
58	8639	"Republican"	"Donald Trump"	"ID"	"RealDonaldTrump"	""	""	""
59	8639	"Republican"	"Donald Trump"	"IL"	"RealDonaldTrump"	""	""	""
60	8639	"Republican"	"Donald Trump"	"IN"	"RealDonaldTrump"	""	""	""
61	8639	"Republican"	"Donald Trump"	"KS"	"RealDonaldTrump"	""	""	""
62	8639	"Republican"	"Donald Trump"	"KY"	"RealDonaldTrump"	""	""	""
63	8639	"Republican"	"Donald Trump"	"LA"	"RealDonaldTrump"	""	""	""
