meta_id	user_id	screen_name	moc_117	moc_116	pundit	covid_elite	president	media	candidate	governor	official	phi	phi_2	followers	voteview_id
MS11794659	21111098	SenShelby	1	1	0	0	0	0	0	0	0	0.6808728357757489	1.6856034693520443	1521	94659
MS11749703	19726613	SenatorCollins	1	1	0	0	0	0	1	0	0	0.007256918653642555	0.1056461715941218	9711	49703
MS11749308	293131808	PattyMurray	1	1	0	1	0	0	0	0	0	-0.6839273279064148	0.6129199135208973	7552	49308
MS11749300	476256944	SenFeinstein	1	1	0	0	0	0	0	0	0	-0.7438424782708689	-0.42968400675045115	24646	49300
MS11742102	110798061	TTuberville	1	0	0	0	0	0	1	0	0	1.5179075102278863	-0.7363524392246257	1281	42102
MS11742102	1345739193721487362	SenTuberville	1	0	0	0	0	0	1	0	0	1.5179075102278863	-0.7363524392246257	1281	42102
MS11742101	117839957	Hickenlooper	1	0	0	0	0	0	1	0	0	-0.6288251986056681	0.05641199118107302	5542	42101
MS11742101	1318728336923787264	SenatorHick	1	0	0	0	0	0	1	0	0	-0.6288251986056681	0.05641199118107302	5542	42101
MS11742100	1152598802873880576	BillHagertyTN	1	0	0	1	0	0	1	0	0	1.8118415563884471	-0.5915007059812866	395	42100
MS11742100	1346873610875654147	SenatorHagerty	1	0	0	0	0	0	1	0	0	1.8118415563884471	-0.5915007059812866	395	42100
MS11741905	1324926274888888320	SenMarkKelly	1	1	0	0	0	0	1	0	0	-0.8417003896165235	-0.20461257252134216	552	41905
MS11741903	131546062	SenRickScott	1	1	0	0	0	0	0	0	0	0.980616530695316	-0.7222997548621515	6169	41903
MS11741902	50055701	MittRomney	1	1	0	0	0	0	0	0	0	0.22853500039798977	-0.9711402378886412	47496	41902
MS11741902	1078693601356509184	SenatorRomney	1	1	0	0	0	0	0	0	0	0.22853500039798977	-0.9711402378886412	47496	41902
MS11741901	1080960924687704064	SenHawleyPress	1	1	0	0	0	0	0	0	0	1.6079395329691342	-0.9144407325319628	4324	41901
MS11741901	2352629311	HawleyMO	1	1	0	1	0	0	0	0	0	1.6079395329691342	-0.9144407325319628	4324	41901
MS11741900	1080870981877534720	SenatorBraun	1	1	0	0	0	0	0	0	0	1.0711470975087019	0.7086743378751665	458	41900
MS11741707	262192574	cindyhydesmith	1	1	0	0	0	0	0	0	0	1.310447518760077	0.5552105881751886	582	41707
MS11741707	983348251972816896	SenHydeSmith	1	1	0	0	0	0	1	0	0	1.310447518760077	0.5552105881751886	582	41707
MS11741706	941000686275387392	SenTinaSmith	1	1	0	0	0	0	0	0	0	-0.7920708483875486	-0.09180845255554862	4708	41706
MS11741706	47724293	TinaSmithMN	1	1	0	0	0	0	1	0	0	-0.7920708483875486	-0.09180845255554862	4708	41706
MS11741703	816683274076614656	SenJohnKennedy	1	1	0	0	0	0	0	0	0	1.4959315891380662	-0.3602622563383903	2162	41703
MS11741702	946549322	SenatorHassan	1	1	0	0	0	0	0	0	0	-0.5624334509755119	1.1059619496921507	2122	41702
MS11741701	30354991	KamalaHarris	1	1	0	1	0	0	0	0	0	-0.8251116904500352	-1.4211099408709258	138927	41701
MS11741700	3145735852	CatherineforNV	1	1	0	0	0	0	0	0	0	-0.6430320657480056	0.8220119101642965	1831	41700
MS11741700	811313565760163844	SenCortezMasto	1	1	0	0	0	0	0	0	0	-0.6430320657480056	0.8220119101642965	1831	41700
MS11741505	2955485182	SenatorRounds	1	1	0	0	0	0	1	0	0	0.5568438543890194	1.727171682506767	583	41505
MS11741504	22195441	ThomTillis	1	1	0	0	0	0	0	0	0	0.8392786175995923	0.6621422661350577	3059	41504
MS11741504	2964174789	SenThomTillis	1	1	0	0	0	0	1	0	0	0.8392786175995923	0.6621422661350577	3059	41504
MS11741503	2962923040	SenSasse	1	1	0	0	0	0	1	0	0	0.26567562547361445	-0.18376446679279437	10744	41503
MS11741503	1480852568	BenSasse	1	1	0	0	0	0	1	0	0	0.26567562547361445	-0.18376446679279437	10744	41503
MS11741502	2856787757	SenJoniErnst	1	1	0	0	0	0	1	0	0	1.0621963104715861	0.2511225507204741	3128	41502
MS11741502	1383059977	joniernst	1	1	0	0	0	0	1	0	0	1.0621963104715861	0.2511225507204741	3128	41502
MS11741500	2891210047	SenDanSullivan	1	1	0	0	0	0	1	0	0	0.48851983808470684	1.7511618979922983	741	41500
MS11741308	15808765	CoryBooker	1	1	0	1	0	0	1	0	0	-0.771549432060852	-0.9541619343503903	62899	41308
MS11741308	2167097881	SenBooker	1	1	0	0	0	0	0	0	0	-0.771549432060852	-0.9541619343503903	62899	41308
MS11741305	172858784	timkaine	1	1	0	0	0	0	0	0	0	-0.7362667749527574	-0.4267214780039076	22711	41305
MS11741304	1074480192	SenTedCruz	1	1	0	1	0	0	0	0	0	1.116298667356774	-1.3977509393696312	48900	41304
MS11741304	23022687	tedcruz	1	1	0	1	0	0	0	0	0	1.116298667356774	-1.3977509393696312	48900	41304
MS11741302	1071402577	SenatorFischer	1	1	0	0	0	0	0	0	0	0.4917682714622645	1.6467004830230165	1961	41302
MS11741301	357606935	ewarren	1	1	0	1	0	0	0	0	0	-0.8106832766691235	-1.377528104612751	142085	41301
MS11741301	970207298	SenWarren	1	1	0	1	0	0	0	0	0	-0.8106832766691235	-1.377528104612751	142085	41301
MS11741300	1068481578	SenAngusKing	1	1	0	0	0	0	0	0	0	-0.4912312751975825	0.9747334102208819	3664	41300
MS11741112	1262099252	SenBrianSchatz	1	1	0	0	0	0	0	0	0	-0.8135849131020321	0.0689066615365167	11631	41112
MS11741112	47747074	brianschatz	1	1	0	1	0	0	0	0	0	-0.8135849131020321	0.0689066615365167	11631	41112
MS11741111	142332083	RonJohnsonWI	1	1	0	0	0	0	0	0	0	0.8792886638831475	0.7257320189915772	3324	41111
MS11741111	233737858	SenRonJohnson	1	1	0	0	0	0	0	0	0	0.8792886638831475	0.7257320189915772	3324	41111
MS11741110	88784440	SenMikeLee	1	1	0	0	0	0	0	0	0	1.2901699058593399	-0.6378456724762857	10413	41110
MS11741107	382791093	SenJohnHoeven	1	1	0	0	0	0	0	0	0	0.44702171626650733	1.8992937181997327	1832	41107
MS11741104	216881337	RandPaul	1	1	0	1	0	0	0	0	0	1.0951678917907488	-1.2450692423121539	34804	41104
MS11741102	15745368	marcorubio	1	1	0	1	0	0	0	0	0	0.8157826959386156	-1.1785785099569215	41512	41102
MS11741101	278124059	SenBlumenthal	1	1	0	1	0	0	0	0	0	-0.7007417846220244	0.3815046992664152	10476	41101
MS11740916	15324851	ChrisCoons	1	1	0	0	0	0	1	0	0	-0.5356935694966758	1.0972431781316665	3926	40916
MS11740915	234374703	Sen_JoeManchin	1	1	0	1	0	0	0	0	0	0.05993005049807941	0.899007465224345	3733	40915
MS11740910	45645232	MichaelBennet	1	1	0	0	0	0	0	0	0	-0.6328258989192611	0.38575292026981156	6792	40910
MS11740910	224285242	SenatorBennet	1	1	0	0	0	0	0	0	0	-0.6328258989192611	0.38575292026981156	6792	40910
MS11740909	7429102	MarkWarner	1	1	0	0	0	0	1	0	0	-0.6142950407343951	0.5457967969698824	8024	40909
MS11740908	29201047	SenJeffMerkley	1	1	0	1	0	0	0	0	0	-0.7328614536671163	0.4246347559905125	11640	40908
MS11740908	223166587	JeffMerkley	1	1	0	0	0	0	1	0	0	-0.7328614536671163	0.4246347559905125	11640	40908
MS11740906	109287731	SenatorShaheen	1	1	0	1	0	0	0	0	0	-0.44815871129875023	1.440878408085721	2481	40906
MS11740902	1096059529	SenatorRisch	1	1	0	0	0	0	1	0	0	0.4395904490853697	2.039669687916091	1574	40902
MS11740707	202206694	SenJohnBarrasso	1	1	0	0	0	0	0	0	0	0.7473227247203319	1.5872207047337366	2265	40707
MS11740704	242555999	SenWhitehouse	1	1	0	1	0	0	0	0	0	-0.7132905878964209	0.6359616674664024	8026	40704
MS11740703	171598736	SenBobCasey	1	1	0	1	0	0	0	0	0	-0.5658636519662186	0.5832982761482133	6118	40703
MS11740702	515822213	SenatorTester	1	1	0	0	0	0	0	0	0	-0.5034531649564871	0.9667629568597574	1903	40702
MS11740700	33537967	amyklobuchar	1	1	0	1	0	0	0	0	0	-0.7620021933836821	-0.6643881948578123	30909	40700
MS11740700	22044727	SenAmyKlobuchar	1	1	0	0	0	0	0	0	0	-0.7620021933836821	-0.6643881948578123	30909	40700
MS11740305	13218102	JohnCornyn	1	1	0	0	0	0	1	0	0	1.025048883682257	-0.004874894954846476	5981	40305
MS11740300	18061669	lisamurkowski	1	1	0	0	0	0	0	0	0	-0.20432819783564568	0.49660921397027874	6859	40300
MS11739310	117501995	SenatorCantwell	1	1	0	0	0	0	0	0	0	-0.6316191444668187	0.7451467989267826	4263	39310
MH11739307	161791703	BobbyScott	1	1	0	0	0	0	0	0	0	-0.481956320981401	1.7671115054467963	1248	39307
MH11739305	168502762	RepEBJ	1	1	0	0	0	0	0	0	0	-0.49985323870610865	1.7798992020011901	1058	39305
MH11739301	188019606	WhipClyburn	1	1	0	0	0	0	0	0	0	-0.6602209011545981	0.8000987029378597	3876	39301
MH11731103	1155335864	RepDonaldPayne	1	1	0	0	0	0	0	0	0	-0.44381015620722564	2.1634921952105746	548	31103
MH11731102	975200486	RepThomasMassie	1	1	0	1	0	0	0	0	0	1.3000049093257329	-0.4591149691969507	3302	31102
MH11731101	995193054	RepDelBene	1	1	0	0	0	0	0	0	0	-0.5499203626824704	1.5971719313564559	888	31101
MS11729940	87510313	tammybaldwin	1	1	0	0	0	0	0	0	0	-0.663341704297455	0.5376676384724367	4598	29940
MS11729940	1074518754	SenatorBaldwin	1	1	0	0	0	0	0	0	0	-0.663341704297455	0.5376676384724367	4598	29940
MS11729935	221162525	SenToomey	1	1	0	0	0	0	0	0	0	0.17547521184086293	0.8711884360398373	3270	29935
MH11729911	24195214	janschakowsky	1	1	0	0	0	0	0	0	0	-0.6700676185754455	1.176560643682587	1779	29911
MH11729910	76132891	CongMikeSimpson	1	1	0	0	0	0	0	0	0	0.4318838211930098	2.5135560067586655	393	29910
MH11729908	50452197	RepJohnLarson	1	1	0	0	0	0	0	0	0	-0.4825656850645194	1.8865226255266854	830	29908
MH11729903	161411080	gracenapolitano	1	1	0	0	0	0	0	0	0	-0.4751171129454735	2.4737639662097672	947	29903
MH11729901	303861808	RepThompson	1	1	0	0	0	0	0	0	0	-0.48272491073773277	2.099865208066019	881	29901
MH11729778	248735463	RepBarbaraLee	1	1	0	0	0	0	0	0	0	-0.8186950865049571	0.32167143500085205	9274	29778
MH11729776	22812754	RepGregoryMeeks	1	1	0	0	0	0	0	0	0	-0.5046485954405991	1.8467333764626195	988	29776
MH11729769	112740986	RepRonKind	1	1	0	0	0	0	0	0	0	-0.3189125265048433	1.7756564962692962	583	29769
MH11729768	58928690	RepAdamSmith	1	1	0	0	0	0	0	0	0	-0.5411682915912117	1.6174805289862484	1212	29768
MH11729762	161743731	RepKayGranger	1	1	0	0	0	0	0	0	0	0.7478226099238042	2.238540557284994	527	29762
MH11729760	19926675	RepKevinBrady	1	1	0	0	0	0	0	0	0	1.207102020709342	1.3410397086104642	1270	29760
MH11729759	24735461	PeteSessions	1	0	0	0	0	0	0	0	0	0.8722184489129262	1.8738645427434384	830	29759
MS11729754	296361085	SenJohnThune	1	1	0	1	0	0	0	0	0	0.8071032078442807	1.1904972459441971	2535	29754
MH11729741	74508260	BillPascrell	1	1	0	1	0	0	0	0	0	-0.7160984996968138	0.916917142390662	2183	29741
MS11729735	21269970	RoyBlunt	1	1	0	0	0	0	0	0	0	0.5352666034010769	1.387400080578724	2644	29735
MS11729732	20113797	stabenow	1	1	0	0	0	0	0	0	0	-0.5740816751255122	0.718678253100999	3989	29732
MS11729732	76456274	SenStabenow	1	1	0	0	0	0	0	0	0	-0.5740816751255122	0.718678253100999	3989	29732
MH11729729	242426145	RepMcGovern	1	1	0	0	0	0	0	0	0	-0.6781768785970461	1.0147007347985164	2148	29729
MS11729722	18632666	JerryMoran	1	1	0	0	0	0	0	0	0	0.43928243096042924	1.7253023699485426	1973	29722
MH11729717	789244177	RepDannyDavis	1	1	0	0	0	0	0	0	0	-0.5172367928354202	1.96164853511771	462	29717
MH11729710	28599820	RepDianaDeGette	1	1	0	0	0	0	0	0	0	-0.49612914831610627	1.1673415282785884	1527	29710
MH11729707	30216513	BradSherman	1	1	0	0	0	0	0	0	0	-0.5021668673984845	1.649594711658078	1234	29707
MH11729701	76452765	Robert_Aderholt	1	1	0	0	0	0	0	0	0	0.8117908944768925	2.9046248305483098	554	29701
MH11729588	15954997	repblumenauer	1	1	0	0	0	0	0	0	0	-0.6757171785738258	0.9255544024556193	2198	29588
MH11729573	80612021	JacksonLeeTX18	1	1	0	0	0	0	0	0	0	-0.6112388422782655	1.1068405757630544	2860	29573
MH11729571	153944899	RepLloydDoggett	1	1	0	0	0	0	0	0	0	-0.5039660834395536	0.9438705067794648	1226	29571
MS11729566	432895323	LindseyGrahamSC	1	1	0	1	0	0	1	0	0	1.1206255828165121	-1.284535341532527	24799	29566
MS11729566	14845376	GrahamBlog	1	0	0	0	0	0	0	0	0	1.1206255828165121	-1.284535341532527	24799	29566
MH11729561	39249305	USRepMikeDoyle	1	1	0	0	0	0	0	0	0	-0.3981741045551312	1.454847619169353	620	29561
MH11729550	237750442	RepSteveChabot	1	1	0	0	0	0	0	0	0	0.7822388182400636	2.3547602158724894	734	29550
MS11729548	21157904	SenatorBurr	1	1	0	0	0	0	0	0	0	0.2573983348971244	1.007099934890125	3456	29548
MS11729534	264219447	SenatorWicker	1	1	0	0	0	0	0	0	0	0.5537427310434676	1.9880324437217938	1598	29534
MH11729504	267938462	RepZoeLofgren	1	1	0	0	0	0	0	0	0	-0.6232916068577966	1.5814510016505845	1864	29504
MH11729393	242772524	RepFrankLucas	1	1	0	0	0	0	0	0	0	0.6926190528947654	2.434258321835274	335	29393
MS11729389	24768753	sherrodbrown	1	1	0	0	0	0	0	0	0	-0.6877267961752813	0.22753569318456685	11294	29389
MS11729389	43910797	SenSherrodBrown	1	1	0	1	0	0	0	0	0	-0.6877267961752813	0.22753569318456685	11294	29389
MS11729386	18915145	senrobportman	1	1	0	0	0	0	0	0	0	0.3348915023531892	0.7931238214598645	3702	29386
MH11729379	258900199	RepMaloney	1	1	0	0	0	0	0	0	0	-0.7191144792916838	0.916854927889756	2756	29379
MH11729379	119250381	CarolynBMaloney	1	1	0	0	0	0	0	0	0	-0.7191144792916838	0.916854927889756	2756	29379
MH11729378	164369297	NydiaVelazquez	1	1	0	0	0	0	0	0	0	-0.7357137366354743	0.7396815813358298	2612	29378
MH11729377	40302336	RepJerryNadler	1	1	0	1	0	0	0	0	0	-0.7725329435112426	0.14618253107027598	10012	29377
MS11729373	18695134	SenatorMenendez	1	1	0	0	0	0	0	0	0	-0.48747913389844605	0.7963856351600443	3761	29373
MH11729368	82453460	BennieGThompson	1	1	0	0	0	0	0	0	0	-0.4394621384709258	1.9501646267405788	577	29368
MH11729346	305216911	RepBobbyRush	1	1	0	0	0	0	0	0	0	-0.6199026507277534	1.4642916681796823	1050	29346
MS11729345	600463589	MikeCrapo	1	1	0	0	0	0	0	0	0	0.5014392121083036	1.8965959951034403	1844	29345
MH11729339	249410485	SanfordBishop	1	1	0	0	0	0	0	0	0	-0.3239939438670819	2.6495630271794464	547	29339
MH11729323	22545491	KenCalvert	1	1	0	0	0	0	0	0	0	0.614560791438275	2.602627457528936	435	29323
MH11729317	479872233	RepRoybalAllard	1	1	0	0	0	0	0	0	0	-0.4414465385919255	2.4283779407160675	812	29317
MH11729312	249348006	RepAnnaEshoo	1	1	0	0	0	0	0	0	0	-0.5480095367438996	1.7591124266821387	1517	29312
MS11729147	29442313	SenSanders	1	1	0	1	0	0	0	0	0	-0.7455042189135407	-1.4687074433625233	171866	29147
MS11729147	216776631	BernieSanders	1	1	0	1	0	0	0	0	0	-0.7455042189135407	-1.4687074433625233	171866	29147
MS11729142	486694111	SenJackReed	1	1	0	0	0	0	1	0	0	-0.4660812045664789	1.4660069197117418	2162	29142
MH11729109	140519774	rosadelauro	1	1	0	0	0	0	0	0	0	-0.6393248626872412	1.182960610613728	1653	29109
MH11729106	36686040	RepMaxineWaters	1	1	0	1	0	0	0	0	0	-0.8528195091359821	-0.7087546626215881	36820	29106
MH11722156	36424664	NikemaWilliams	1	0	0	0	0	0	0	0	0	-0.8293898041925347	0.4661154420826574	933	22156
MH11722156	1345461797361504259	RepNikema	1	0	0	0	0	0	0	0	0	-0.8293898041925347	0.4661154420826574	933	22156
MH11722155	489856457	Bethvanduyne	1	0	0	0	0	0	0	0	0	1.758472790968102	-0.3921136508910299	337	22155
MH11722155	1339633259349745670	RepBethVanDuyne	1	0	0	0	0	0	0	0	0	1.758472790968102	-0.3921136508910299	337	22155
MH11722154	1247612029	RitchieTorres	1	0	0	0	0	0	0	0	0	-0.7937397142345965	0.023795866241957234	1934	22154
MH11722154	1276403757224546304	RepRitchie	1	0	0	0	0	0	0	0	0	-0.7937397142345965	0.023795866241957234	1934	22154
MH11722153	1343646545955213312	RepStricklandWA	1	0	0	0	0	0	0	0	0	-0.7197111960214803	0.85200994544715	97	22153
MH11722153	1206654366758785024	StricklandforWA	1	0	0	0	0	0	0	0	0	-0.7197111960214803	0.85200994544715	97	22153
