"","user_id","handle","voteview_id","type","icpsr","bioname","party_code","cqlabel","state_abbrev","chamber","seo_name","district_code","nominate.dim1"
"1",5558312,"johnboozman","MS11620101","congress",20101,"BOOZMAN, John",200,"(AR)","AR","Senate","john-boozman",0,0.4
"2",7270292,"jiminhofe","MS11615424","congress",15424,"INHOFE, James Mountain",200,"(OK)","OK","Senate","james-mountain-inhofe",0,0.555
"3",7429102,"markwarner","MS11640909","congress",40909,"WARNER, Mark",100,"(VA)","VA","Senate","mark-warner",0,-0.201
"4",10615232,"chuckgrassley","MS11614226","congress",14226,"GRASSLEY, Charles Ernest",200,"(IA)","IA","Senate","charles-ernest-grassley",0,0.346
"5",11651202,"stevedaines","MS11621338","congress",21338,"DAINES, Steve",200,"(MT)","MT","Senate","steve-daines",0,0.555
"6",13218102,"johncornyn","MS11640305","congress",40305,"CORNYN, John",200,"(TX)","TX","Senate","john-cornyn",0,0.495
"7",13491312,"reptimryan","MH11620343","congress",20343,"RYAN, Timothy J.",100,"(OH-13)","OH","House","timothy-j-ryan",13,-0.403
"8",14573926,"mikelevin","MH11621939","congress",21939,"LEVIN, Mike",100,"(CA-49)","CA","House","mike-levin",49,-0.38
"9",14573926,"mikelevinca","MH11621939","congress",21939,"LEVIN, Mike",100,"(CA-49)","CA","House","mike-levin",49,-0.38
"10",14836282,"jim_banks","MH11621702","congress",21702,"BANKS, James E.",200,"(IN-03)","IN","House","james-e-banks",3,0.633
"11",14984637,"chelliepingree","MH11620920","congress",20920,"PINGREE, Chellie",100,"(ME-01)","ME","House","chellie-pingree",1,-0.42
"12",15324851,"chriscoons","MS11640916","congress",40916,"COONS, Christopher A.",100,"(DE)","DE","Senate","christopher-a-coons",0,-0.225
"13",15356407,"robwittman","MH11620756","congress",20756,"WITTMAN, Robert J.",200,"(VA-01)","VA","House","robert-j-wittman",1,0.444
"14",15394954,"boblatta","MH11620755","congress",20755,"LATTA, Robert E.",200,"(OH-05)","OH","House","robert-e-latta",5,0.519
"15",15745368,"marcorubio","MS11641102","congress",41102,"RUBIO, Marco",200,"(FL)","FL","Senate","marco-rubio",0,0.573
"16",15751083,"michaelcburgess","MH11620355","congress",20355,"BURGESS, Michael C.",200,"(TX-26)","TX","House","michael-c-burgess",26,0.577
"17",15764644,"speakerpelosi","MH11615448","congress",15448,"PELOSI, Nancy",100,"(CA-12)","CA","House","nancy-pelosi",12,-0.49
"18",15808765,"corybooker","MS11641308","congress",41308,"BOOKER, Cory Anthony",100,"(NJ)","NJ","Senate","cory-anthony-booker",0,-0.612
"19",15954997,"repblumenauer","MH11629588","congress",29588,"BLUMENAUER, Earl",100,"(OR-03)","OR","House","earl-blumenauer",3,-0.427
"20",16256269,"virginiafoxx","MH11620521","congress",20521,"FOXX, Virginia Ann",200,"(NC-05)","NC","House","virginia-ann-foxx",5,0.631
"21",17494010,"senschumer","MS11614858","congress",14858,"SCHUMER, Charles Ellis (Chuck)",100,"(NY)","NY","Senate","charles-ellis-chuck-schumer",0,-0.357
"22",17907578,"dinatitus","MH11620927","congress",20927,"TITUS, Alice (Dina)",100,"(NV-01)","NV","House","alice-dina-titus",1,-0.302
"23",17976923,"cathymcmorris","MH11620535","congress",20535,"McMORRIS RODGERS, Cathy",200,"(WA-05)","WA","House","cathy-mcmorris-rodgers",5,0.425
"24",18030431,"judgecarter","MH11620356","congress",20356,"CARTER, John R.",200,"(TX-31)","TX","House","john-r-carter",31,0.473
"25",18061669,"lisamurkowski","MS11640300","congress",40300,"MURKOWSKI, Lisa",200,"(AK)","AK","Senate","lisa-murkowski",0,0.21
"26",18137749,"chrisvanhollen","MS11620330","congress",20330,"VAN HOLLEN, Christopher",100,"(MD)","MD","Senate","christopher-van-hollen",0,-0.389
"27",18166778,"jim_jordan","MH11620738","congress",20738,"JORDAN, Jim",200,"(OH-04)","OH","House","jim-jordan",4,0.718
"28",18229117,"duffy4wisconsin","MH11621189","congress",21189,"DUFFY, Sean",200,"(WI-07)","WI","House","sean-duffy",7,0.511
"29",18277655,"reppeteking","MH11629375","congress",29375,"KING, Peter T.",200,"(NY-02)","NY","House","peter-t-king",2,0.259
"30",18632666,"jerrymoran","MS11629722","congress",29722,"MORAN, Jerry",200,"(KS)","KS","Senate","jerry-moran",0,0.413
"31",18695134,"senatormenendez","MS11629373","congress",29373,"MENENDEZ, Robert",100,"(NJ)","NJ","Senate","robert-menendez",0,-0.366
"32",18696134,"repsires","MH11620542","congress",20542,"SIRES, Albio",100,"(NJ-08)","NJ","House","albio-sires",8,-0.404
"33",18773159,"repscottperry","MH11621356","congress",21356,"PERRY, Scott",200,"(PA-10)","PA","House","scott-perry",10,0.623
"34",18805303,"jefffortenberry","MH11620518","congress",20518,"FORTENBERRY, Jeff",200,"(NE-01)","NE","House","jeff-fortenberry",1,0.301
"35",18909919,"jimlangevin","MH11620136","congress",20136,"LANGEVIN, James",100,"(RI-02)","RI","House","james-langevin",2,-0.376
"36",18915145,"senrobportman","MS11629386","congress",29386,"PORTMAN, Robert Jones (Rob)",200,"(OH)","OH","Senate","robert-jones-rob-portman",0,0.373
"37",18967498,"congressmangt","MH11620946","congress",20946,"THOMPSON, Glenn",200,"(PA-15)","PA","House","glenn-thompson",15,0.31
"38",19318314,"repbenraylujan","MH11620932","congress",20932,"LUJ́N, Ben Ray",100,"(NM-03)","NM","House","ben-ray-lujan",3,-0.367
"39",19726613,"senatorcollins","MS11649703","congress",49703,"COLLINS, Susan Margaret",200,"(ME)","ME","Senate","susan-margaret-collins",0,0.112
"40",19739126,"gopleader","MH11620703","congress",20703,"MCCARTHY, Kevin",200,"(CA-23)","CA","House","kevin-mccarthy",23,0.459
"41",19926675,"repkevinbrady","MH11629760","congress",29760,"BRADY, Kevin Patrick",200,"(TX-08)","TX","House","kevin-patrick-brady",8,0.524
"42",20053279,"reppeteolson","MH11620948","congress",20948,"OLSON, Pete",200,"(TX-22)","TX","House","pete-olson",22,0.549
"43",20113797,"stabenow","MS11629732","congress",29732,"STABENOW, Deborah Ann",100,"(MI)","MI","Senate","deborah-ann-stabenow",0,-0.34
"44",20467163,"vernbuchanan","MH11620709","congress",20709,"BUCHANAN, Vernon G.",200,"(FL-16)","FL","House","vernon-g-buchanan",16,0.359
"45",20545793,"repschrader","MH11620944","congress",20944,"SCHRADER, Kurt",100,"(OR-05)","OR","House","kurt-schrader",5,-0.189
"46",20552026,"repperlmutter","MH11620705","congress",20705,"PERLMUTTER, Ed",100,"(CO-07)","CO","House","ed-perlmutter",7,-0.281
"47",20747881,"kyrstensinema","MS11621300","congress",21300,"SINEMA, Kyrsten",100,"(AZ)","AZ","Senate","kyrsten-sinema",0,-0.102
"48",20879626,"corygardner","MS11621112","congress",21112,"GARDNER, Cory",200,"(CO)","CO","Senate","cory-gardner",0,0.446
"49",21059255,"tedlieu","MH11621507","congress",21507,"LIEU, Ted",100,"(CA-33)","CA","House","ted-lieu",33,-0.371
"50",21111098,"senshelby","MS11694659","congress",94659,"SHELBY, Richard C.",200,"(AL)","AL","Senate","richard-c-shelby",0,0.428
"51",21157904,"senatorburr","MS11629548","congress",29548,"BURR, Richard M.",200,"(NC)","NC","Senate","richard-m-burr",0,0.45
"52",21269970,"royblunt","MS11629735","congress",29735,"BLUNT, Roy",200,"(MO)","MO","Senate","roy-blunt",0,0.427
"53",21406834,"senmarkey","MS11614435","congress",14435,"MARKEY, Edward John",100,"(MA)","MA","Senate","edward-john-markey",0,-0.511
"54",21572351,"auctnr1","MH11621150","congress",21150,"LONG, Billy",200,"(MO-07)","MO","House","billy-long",7,0.545
"55",21669223,"lamaralexander","MS11640304","congress",40304,"ALEXANDER, Lamar",200,"(TN)","TN","Senate","lamar-alexander",0,0.324
"56",22012091,"leaderhoyer","MH11614873","congress",14873,"HOYER, Steny Hamilton",100,"(MD-05)","MD","House","steny-hamilton-hoyer",5,-0.38
"57",22044727,"senamyklobuchar","MS11640700","congress",40700,"KLOBUCHAR, Amy",100,"(MN)","MN","Senate","amy-klobuchar",0,-0.276
"58",22055226,"replouiegohmert","MH11620527","congress",20527,"GOHMERT, Louie",200,"(TX-01)","TX","House","louie-gohmert",1,0.624
"59",22195441,"thomtillis","MS11641504","congress",41504,"TILLIS, Thomas Roland (Thom)",200,"(NC)","NC","Senate","thomas-roland-thom-tillis",0,0.434
"60",22523087,"repjimcooper","MH11615019","congress",15019,"COOPER, James Hayes Shofner",100,"(TN-05)","TN","House","james-hayes-shofner-cooper",5,-0.162
"61",22545491,"kencalvert","MH11629323","congress",29323,"CALVERT, Ken",200,"(CA-42)","CA","House","ken-calvert",42,0.349
"62",22669526,"repgwenmoore","MH11620537","congress",20537,"MOORE, Gwendolynne S. (Gwen)",100,"(WI-04)","WI","House","gwendolynne-s-gwen-moore",4,-0.529
"63",22812754,"repgregorymeeks","MH11629776","congress",29776,"MEEKS, Gregory W.",100,"(NY-05)","NY","House","gregory-w-meeks",5,-0.413
"64",23022687,"tedcruz","MS11641304","congress",41304,"CRUZ, Rafael Edward (Ted)",200,"(TX)","TX","Senate","rafael-edward-ted-cruz",0,0.824
"65",23124635,"tomcoleok04","MH11620344","congress",20344,"COLE, Tom",200,"(OK-04)","OK","House","tom-cole",4,0.33
"66",23593446,"davidcicilline","MH11621172","congress",21172,"CICILLINE, David N.",100,"(RI-01)","RI","House","david-n-cicilline",1,-0.391
"67",23976316,"repkenmarchant","MH11620532","congress",20532,"MARCHANT, Kenny",200,"(TX-24)","TX","House","kenny-marchant",24,0.601
"68",24195214,"janschakowsky","MH11629911","congress",29911,"SCHAKOWSKY, Janice D.",100,"(IL-09)","IL","House","janice-d-schakowsky",9,-0.607
"69",24745957,"rephankjohnson","MH11620712","congress",20712,"JOHNSON, Hank",100,"(GA-04)","GA","House","hank-johnson",4,-0.467
"70",24768753,"sherrodbrown","MS11629389","congress",29389,"BROWN, Sherrod",100,"(OH)","OH","Senate","sherrod-brown",0,-0.43
"71",24913074,"repspeier","MH11620762","congress",20762,"SPEIER, Karen Lorraine Jacqueline (Jackie)",100,"(CA-14)","CA","House","karen-lorraine-jacqueline-jackie-speier",14,-0.381
"72",25086658,"congbillposey","MH11620909","congress",20909,"POSEY, Bill",200,"(FL-08)","FL","House","bill-posey",8,0.517
"73",26051676,"repgusbilirakis","MH11620758","congress",20758,"BILIRAKIS, Gus",200,"(FL-12)","FL","House","gus-bilirakis",12,0.404
"74",26424123,"repmccaul","MH11620530","congress",20530,"McCAUL, Michael T.",200,"(TX-10)","TX","House","michael-t-mccaul",10,0.437
"75",26637348,"tulsigabbard","MH11621324","congress",21324,"GABBARD, Tulsi",100,"(HI-02)","HI","House","tulsi-gabbard",2,-0.279
"76",26653478,"jasonsmithmo","MH11621373","congress",21373,"SMITH, Jason",200,"(MO-08)","MO","House","jason-smith",8,0.597
"77",26778110,"repwalterjones","MH11629546","congress",29546,"JONES, Walter Beaman, Jr.",200,"(NC-03)","NC","House","walter-beaman-jones-jr",3,0.244
"78",27044466,"jameslankford","MS11621166","congress",21166,"LANKFORD, James",200,"(OK)","OK","Senate","james-lankford",0,0.587
"79",27676828,"patrickmchenry","MH11620522","congress",20522,"McHENRY, Patrick T.",200,"(NC-10)","NC","House","patrick-t-mchenry",10,0.552
"80",28267055,"kevincramer","MS11621350","congress",21350,"CRAMER, Kevin",200,"(ND)","ND","Senate","kevin-cramer",0,0.389
"81",28599820,"repdianadegette","MH11629710","congress",29710,"DeGETTE, Diana",100,"(CO-01)","CO","House","diana-degette",1,-0.432
"82",28602948,"repraulgrijalva","MH11620305","congress",20305,"GRIJALVA, Ra̼l M.",100,"(AZ-03)","AZ","House","raul-m-grijalva",3,-0.599
"83",29201047,"senjeffmerkley","MS11640908","congress",40908,"MERKLEY, Jeff",100,"(OR)","OR","Senate","jeff-merkley",0,-0.443
"84",29442313,"sensanders","MS11629147","congress",29147,"SANDERS, Bernard",328,"(VT)","VT","Senate","bernard-sanders",0,-0.527
"85",29450962,"repjohnlewis","MH11615431","congress",15431,"LEWIS, John R.",100,"(GA-05)","GA","House","john-r-lewis",5,-0.589
