meta_id	user_id	screen_name	moc_117	moc_116	pundit	covid_elite	president	media	candidate	governor	official	phi	phi_2
MS11794659	21111098	SenShelby	1	1	0	0	0	0	0	0	0	1.0575049858555843	-1.215718729088832
MS11749703	19726613	SenatorCollins	1	1	0	0	0	0	1	0	0	-0.39461067132875927	-0.16387949600333257
MS11749308	293131808	PattyMurray	1	1	0	1	0	0	0	0	0	-0.7443472255513254	-0.5301036240185666
MS11749300	476256944	SenFeinstein	1	1	0	0	0	0	0	0	0	-0.9559103422623795	0.30561460092556053
MS11742102	110798061	TTuberville	1	0	0	0	0	0	1	0	0	0.9022938213584459	1.4945813911905292
MS11742102	1345739193721487362	SenTuberville	1	0	0	0	0	0	1	0	0	0.9022938213584459	1.4945813911905292
MS11742101	117839957	Hickenlooper	1	0	0	0	0	0	1	0	0	-0.3533371263849981	-0.025374162885299575
MS11742101	1318728336923787264	SenatorHick	1	0	0	0	0	0	1	0	0	-0.3533371263849981	-0.025374162885299575
MS11742100	1152598802873880576	BillHagertyTN	1	0	0	1	0	0	1	0	0	NA	NA
MS11742100	1346873610875654147	SenatorHagerty	1	0	0	0	0	0	1	0	0	NA	NA
MS11741905	1324926274888888320	SenMarkKelly	1	1	0	0	0	0	1	0	0	NA	NA
MS11741903	131546062	SenRickScott	1	1	0	0	0	0	0	0	0	1.079303935677028	1.2962664526121996
MS11741902	50055701	MittRomney	1	1	0	0	0	0	0	0	0	0.7419074814411305	1.7197508109062414
MS11741902	1078693601356509184	SenatorRomney	1	1	0	0	0	0	0	0	0	0.7419074814411305	1.7197508109062414
MS11741901	1080960924687704064	SenHawleyPress	1	1	0	0	0	0	0	0	0	1.7607710856989285	-0.1711518519131209
MS11741901	2352629311	HawleyMO	1	1	0	1	0	0	0	0	0	1.7607710856989285	-0.1711518519131209
MS11741900	1080870981877534720	SenatorBraun	1	1	0	0	0	0	0	0	0	NA	NA
MS11741707	262192574	cindyhydesmith	1	1	0	0	0	0	0	0	0	1.2865715724188234	-0.3669966670062503
MS11741707	983348251972816896	SenHydeSmith	1	1	0	0	0	0	1	0	0	1.2865715724188234	-0.3669966670062503
MS11741706	941000686275387392	SenTinaSmith	1	1	0	0	0	0	0	0	0	-0.9953885333750818	0.4039785676940172
MS11741706	47724293	TinaSmithMN	1	1	0	0	0	0	1	0	0	-0.9953885333750818	0.4039785676940172
MS11741703	816683274076614656	SenJohnKennedy	1	1	0	0	0	0	0	0	0	0.7304231506182618	-1.009043105369837
MS11741702	946549322	SenatorHassan	1	1	0	0	0	0	0	0	0	-0.6336128186834418	-0.6100107506775486
MS11741701	30354991	KamalaHarris	1	1	0	1	0	0	0	0	0	-1.0972910359738353	0.6024628252783697
MS11741700	3145735852	CatherineforNV	1	1	0	0	0	0	0	0	0	-0.8130982873261167	-0.45076649875715735
MS11741700	811313565760163844	SenCortezMasto	1	1	0	0	0	0	0	0	0	-0.8130982873261167	-0.45076649875715735
MS11741505	2955485182	SenatorRounds	1	1	0	0	0	0	1	0	0	0.9225061417898115	-1.5751783344928534
MS11741504	22195441	ThomTillis	1	1	0	0	0	0	0	0	0	1.1605707008165134	-0.214352242576237
MS11741504	2964174789	SenThomTillis	1	1	0	0	0	0	1	0	0	1.1605707008165134	-0.214352242576237
MS11741503	2962923040	SenSasse	1	1	0	0	0	0	1	0	0	0.42204857791232714	0.6962565440178373
MS11741503	1480852568	BenSasse	1	1	0	0	0	0	1	0	0	0.42204857791232714	0.6962565440178373
MS11741502	2856787757	SenJoniErnst	1	1	0	0	0	0	1	0	0	1.4324667414274643	0.40231570218120066
MS11741502	1383059977	joniernst	1	1	0	0	0	0	1	0	0	1.4324667414274643	0.40231570218120066
MS11741500	2891210047	SenDanSullivan	1	1	0	0	0	0	1	0	0	0.7639070312674695	-1.588090055888928
MS11741308	15808765	CoryBooker	1	1	0	1	0	0	1	0	0	-0.8659065604592605	0.7123999850141799
MS11741308	2167097881	SenBooker	1	1	0	0	0	0	0	0	0	-0.8659065604592605	0.7123999850141799
MS11741305	172858784	timkaine	1	1	0	0	0	0	0	0	0	-0.8934356708016222	0.6717995765196123
MS11741304	1074480192	SenTedCruz	1	1	0	1	0	0	0	0	0	1.1374219690187684	2.0008060637969973
MS11741304	23022687	tedcruz	1	1	0	1	0	0	0	0	0	1.1374219690187684	2.0008060637969973
MS11741302	1071402577	SenatorFischer	1	1	0	0	0	0	0	0	0	0.7746026951018461	-1.1878448959545551
MS11741301	357606935	ewarren	1	1	0	1	0	0	0	0	0	-0.9202834642883936	0.9210582287072661
MS11741301	970207298	SenWarren	1	1	0	1	0	0	0	0	0	-0.9202834642883936	0.9210582287072661
MS11741300	1068481578	SenAngusKing	1	1	0	0	0	0	0	0	0	-0.470168494258424	-0.6391789675763552
MS11741112	1262099252	SenBrianSchatz	1	1	0	0	0	0	0	0	0	-0.8489813227906488	-0.30008394927060605
MS11741112	47747074	brianschatz	1	1	0	1	0	0	0	0	0	-0.8489813227906488	-0.30008394927060605
MS11741111	142332083	RonJohnsonWI	1	1	0	0	0	0	0	0	0	0.9956075016470076	-0.5258965898191594
MS11741111	233737858	SenRonJohnson	1	1	0	0	0	0	0	0	0	0.9956075016470076	-0.5258965898191594
MS11741110	88784440	SenMikeLee	1	1	0	0	0	0	0	0	0	1.7270271361987437	1.8051865340252995
MS11741107	382791093	SenJohnHoeven	1	1	0	0	0	0	0	0	0	0.6716516013813397	-1.52739561920917
MS11741104	216881337	RandPaul	1	1	0	1	0	0	0	0	0	1.1847960091213687	1.9465060057337935
MS11741102	15745368	marcorubio	1	1	0	1	0	0	0	0	0	0.956419012361899	1.8823908043518778
MS11741101	278124059	SenBlumenthal	1	1	0	1	0	0	0	0	0	-0.7641523559819295	-0.3959158351389892
MS11740916	15324851	ChrisCoons	1	1	0	0	0	0	1	0	0	-0.3450303333068751	-1.0916468386351141
MS11740915	234374703	Sen_JoeManchin	1	1	0	1	0	0	0	0	0	0.23942347421495097	-0.8752869695507268
MS11740910	45645232	MichaelBennet	1	1	0	0	0	0	0	0	0	-0.34948538478494756	-0.7427935635321202
MS11740910	224285242	SenatorBennet	1	1	0	0	0	0	0	0	0	-0.34948538478494756	-0.7427935635321202
MS11740909	7429102	MarkWarner	1	1	0	0	0	0	1	0	0	-0.6111409334687138	-0.19469901383176866
MS11740908	29201047	SenJeffMerkley	1	1	0	1	0	0	0	0	0	-0.784313109489166	-0.48487595951608714
MS11740908	223166587	JeffMerkley	1	1	0	0	0	0	1	0	0	-0.784313109489166	-0.48487595951608714
MS11740906	109287731	SenatorShaheen	1	1	0	1	0	0	0	0	0	-0.3754938820130215	-1.0082420458035006
MS11740902	1096059529	SenatorRisch	1	1	0	0	0	0	1	0	0	0.796327388701271	-1.5846219416890448
MS11740707	202206694	SenJohnBarrasso	1	1	0	0	0	0	0	0	0	1.0004083950856157	-1.2669025471802153
MS11740704	242555999	SenWhitehouse	1	1	0	1	0	0	0	0	0	-0.7118396192525351	-0.6624726468425265
MS11740703	171598736	SenBobCasey	1	1	0	1	0	0	0	0	0	-0.5577344523026037	-0.3812803662327764
MS11740702	515822213	SenatorTester	1	1	0	0	0	0	0	0	0	-0.4729857141909321	-0.596811477798937
MS11740700	33537967	amyklobuchar	1	1	0	1	0	0	0	0	0	-0.8168428491442323	0.12761820478471078
MS11740700	22044727	SenAmyKlobuchar	1	1	0	0	0	0	0	0	0	-0.8168428491442323	0.12761820478471078
MS11740305	13218102	JohnCornyn	1	1	0	0	0	0	1	0	0	1.1999184413152817	0.4158494717957895
MS11740300	18061669	lisamurkowski	1	1	0	0	0	0	0	0	0	-0.27786974299410727	-0.39153118076174576
MS11739310	117501995	SenatorCantwell	1	1	0	0	0	0	0	0	0	-0.6578114750285252	-0.7452968287852437
MH11739307	161791703	BobbyScott	1	1	0	0	0	0	0	0	0	-0.3653462230891834	-1.457681535859553
MH11739305	168502762	RepEBJ	1	1	0	0	0	0	0	0	0	-0.3705550449490184	-1.6360142191814238
MH11739301	188019606	WhipClyburn	1	1	0	0	0	0	0	0	0	-0.6597650238847012	-0.6944010310257005
MH11731103	1155335864	RepDonaldPayne	1	1	0	0	0	0	0	0	0	-0.21365601687464347	-1.9598890110626002
MH11731102	975200486	RepThomasMassie	1	1	0	1	0	0	0	0	0	1.5868850412981348	0.48890164824002474
MH11731101	995193054	RepDelBene	1	1	0	0	0	0	0	0	0	-0.46697561915787156	-1.5537744773798197
MS11729940	87510313	tammybaldwin	1	1	0	0	0	0	0	0	0	-0.6900689069432429	-0.40655062219234966
MS11729940	1074518754	SenatorBaldwin	1	1	0	0	0	0	0	0	0	-0.6900689069432429	-0.40655062219234966
