id_117	user_id	handle
MS11794659	21111098	SenShelby
MS11749703	19726613	SenatorCollins
MS11749308	293131808	PattyMurray
MS11749300	476256944	SenFeinstein
MS11742102	110798061	TTuberville
MS11742102	1345739193721487362	SenTuberville
MS11742101	117839957	Hickenlooper
MS11742101	1318728336923787264	SenatorHick
MS11742100	1152598802873880576	BillHagertyTN
MS11742100	1346873610875654147	SenatorHagerty
MS11741905	1324926274888888320	SenMarkKelly
MS11741903	131546062	SenRickScott
MS11741902	50055701	MittRomney
MS11741902	1078693601356509184	SenatorRomney
MS11741901	1080960924687704064	SenHawleyPress
MS11741901	2352629311	HawleyMO
MS11741900	1080870981877534720	SenatorBraun
MS11741707	262192574	cindyhydesmith
MS11741707	983348251972816896	SenHydeSmith
MS11741706	941000686275387392	SenTinaSmith
MS11741706	47724293	TinaSmithMN
MS11741703	816683274076614656	SenJohnKennedy
MS11741702	946549322	SenatorHassan
MS11741701	30354991	KamalaHarris
MS11741700	3145735852	CatherineforNV
MS11741700	811313565760163844	SenCortezMasto
MS11741505	2955485182	SenatorRounds
MS11741504	22195441	ThomTillis
MS11741504	2964174789	SenThomTillis
MS11741503	2962923040	SenSasse
MS11741503	1480852568	BenSasse
MS11741502	2856787757	SenJoniErnst
MS11741502	1383059977	joniernst
MS11741500	2891210047	SenDanSullivan
MS11741308	15808765	CoryBooker
MS11741308	2167097881	SenBooker
MS11741305	172858784	timkaine
MS11741304	1074480192	SenTedCruz
MS11741304	23022687	tedcruz
MS11741302	1071402577	SenatorFischer
MS11741301	357606935	ewarren
MS11741301	970207298	SenWarren
MS11741300	1068481578	SenAngusKing
MS11741112	1262099252	SenBrianSchatz
MS11741112	47747074	brianschatz
MS11741111	142332083	RonJohnsonWI
MS11741111	233737858	SenRonJohnson
MS11741110	88784440	SenMikeLee
MS11741107	382791093	SenJohnHoeven
MS11741104	216881337	RandPaul
MS11741102	15745368	marcorubio
MS11741101	278124059	SenBlumenthal
MS11740916	15324851	ChrisCoons
MS11740915	234374703	Sen_JoeManchin
MS11740910	45645232	MichaelBennet
MS11740910	224285242	SenatorBennet
MS11740909	7429102	MarkWarner
MS11740908	29201047	SenJeffMerkley
MS11740908	223166587	JeffMerkley
MS11740906	109287731	SenatorShaheen
MS11740902	1096059529	SenatorRisch
MS11740707	202206694	SenJohnBarrasso
MS11740704	242555999	SenWhitehouse
MS11740703	171598736	SenBobCasey
MS11740702	515822213	SenatorTester
MS11740700	33537967	amyklobuchar
MS11740700	22044727	SenAmyKlobuchar
MS11740305	13218102	JohnCornyn
MS11740300	18061669	lisamurkowski
MS11739310	117501995	SenatorCantwell
MH11739307	161791703	BobbyScott
MH11739305	168502762	RepEBJ
MH11739301	188019606	WhipClyburn
MH11731103	1155335864	RepDonaldPayne
MH11731102	975200486	RepThomasMassie
MH11731101	995193054	RepDelBene
MS11729940	87510313	tammybaldwin
MS11729940	1074518754	SenatorBaldwin
MS11729935	221162525	SenToomey
MH11729911	24195214	janschakowsky
MH11729910	76132891	CongMikeSimpson
MH11729908	50452197	RepJohnLarson
MH11729903	161411080	gracenapolitano
MH11729901	303861808	RepThompson
MH11729778	248735463	RepBarbaraLee
MH11729776	22812754	RepGregoryMeeks
MH11729769	112740986	RepRonKind
MH11729768	58928690	RepAdamSmith
MH11729762	161743731	RepKayGranger
MH11729760	19926675	RepKevinBrady
MH11729759	24735461	PeteSessions
MS11729754	296361085	SenJohnThune
MH11729741	74508260	BillPascrell
MS11729735	21269970	RoyBlunt
MS11729732	20113797	stabenow
MS11729732	76456274	SenStabenow
MH11729729	242426145	RepMcGovern
MS11729722	18632666	JerryMoran
MH11729717	789244177	RepDannyDavis
MH11729710	28599820	RepDianaDeGette
MH11729707	30216513	BradSherman
MH11729701	76452765	Robert_Aderholt
MH11729588	15954997	repblumenauer
MH11729573	80612021	JacksonLeeTX18
MH11729571	153944899	RepLloydDoggett
MS11729566	432895323	LindseyGrahamSC
MS11729566	14845376	GrahamBlog
MH11729561	39249305	USRepMikeDoyle
MH11729550	237750442	RepSteveChabot
MS11729548	21157904	SenatorBurr
MS11729534	264219447	SenatorWicker
MH11729504	267938462	RepZoeLofgren
MH11729393	242772524	RepFrankLucas
MS11729389	24768753	sherrodbrown
MS11729389	43910797	SenSherrodBrown
MS11729386	18915145	senrobportman
MH11729379	258900199	RepMaloney
MH11729379	119250381	CarolynBMaloney
MH11729378	164369297	NydiaVelazquez
