""	"Name"	"Position"	"ConfirmationDate "	"InOffice"	"handle"	"handle2"	"handle_id"	"handle2_id"
0	"Thomas Shannon"	"Secretary of State (acting)"	""	""	""	""	""	""
1	"Rex Tillerson"	"Secretary of State"	""	""	""	""	""	""
2	"John J. Sullivan"	"Secretary of State (acting)"	""	""	""	""	""	""
3	"Mike Pompeo"	"Secretary of State"	"4/26/2018"	"x"	"mikepompeo"	""	"1163992520252153857"	""
4	"Adam Szubin"	"Secretary of the Treasury (acting)"	""	""	""	""	""	""
5	"Steve Mnuchin"	"Secretary of the Treasury"	"2/13/2017"	"x"	"stevenmnuchin1"	""	"799764016885329921"	""
6	"Jim Mattis"	"Secretary of Defense"	""	""	""	""	""	""
7	"Patrick Shanahan"	"Secretary of Defense (acting)"	""	""	""	""	""	""
8	"Mark Esper"	"Secretary of Defense"	"7/23/2019"	"x"	"EsperDoD"	""	"1142185061439197186"	""
9	"Christopher C. Miller"	"Secretary of Defense (acting)"	""	""	""	""	""	""
10	"Sally Yates"	"Attorney General (acting)"	""	""	""	""	""	""
11	"Dana Boente"	"Attorney General (acting)"	""	""	""	""	""	""
12	"Jeff Sessions"	"Attorney General"	""	""	""	""	""	""
13	"Matthew Whitaker"	"Attorney General (acting)"	""	""	""	""	""	""
14	"William Barr"	"Attorney General"	"2/14/2019"	"x"	"?"	""	""	""
15	"Jeffrey Rosen"	"Attorney General (acting)"	""	""	""	""	""	""
16	"Kevin Haugrud"	"Secretary of the Interior (acting)"	""	""	""	""	""	""
17	"Ryan Zinke"	"Secretary of the Interior"	""	""	""	""	""	""
18	"David Bernhardt"	"Secretary of the Interior"	"4/11/2019"	"x"	"SecBernhardt"	""	"821456935421693952"	""
19	"Mike Young"	"Secretary of Agriculture (acting)"	""	""	""	""	""	""
20	"Sonny Perdue"	"Secretary of Agriculture"	"4/24/2017"	"x"	"SonnyPerdue"	""	"842072478834909184"	""
21	"Wilbur Ross"	"Secretary of Commerce"	"2/27/2017"	"x"	"SecretaryRoss"	""	"836305915452272641"	""
22	"Edward Hugler"	"Secretary of Labor (acting)"	""	""	""	""	""	""
23	"Alex Acosta"	"Secretary of Labor"	""	""	""	""	""	""
24	"Patrick Pizella"	"Secretary of Labor (acting)"	""	""	""	""	""	""
25	"Eugene Scalia"	"Secretary of Labor"	"9/26/2019"	"x"	"SecGeneScalia"	""	"1178695912496992257"	""
26	"Norris Cochran"	"Secretary of Health and Human Services (acting)"	""	""	""	""	""	""
27	"Tom Price"	"Secretary of Health and Human Services"	""	""	""	""	""	""
28	"Don J. Wright"	"Secretary of Health and Human Services (acting)"	""	""	""	""	""	""
29	"Eric Hargan"	"Secretary of Health and Human Services (acting)"	""	""	""	""	""	""
30	"Alex Azar"	"Secretary of Health and Human Services"	"1/24/2018"	"x"	"SecAzar"	""	"956283913835614208"	""
31	"Craig Clemmensen"	"Secretary of Housing and Urban Development (acting)"	""	""	""	""	""	""
32	"Ben Carson"	"Secratory of Housing and Urban Development"	"3/2/2017"	"x"	"SecretaryCarson"	"RealBenCarson"	"828613457020870657"	"1180379185"
33	"Michael Huerta"	"Secretary of Transportation (acting)"	""	""	""	""	""	""
34	"Elaine Chao"	"Secretary of Transportation"	"1/31/2017"	"x"	"SecElaineChao"	""	"826065858548133888"	""
35	"Steven G. Bradbury"	"Secretary of Transportation (acting)"	""	""	""	""	""	""
36	"Grace Bochenek"	"Secretary of Energy (acting)"	""	""	""	""	""	""
37	"Rick Perry"	"Secretary of Energy "	""	""	""	""	""	""
38	"Dan Brouillette"	"Secretary of Energy"	"12/2/2019"	"x"	"SecBrouillette"	""	"894923298374651904"	""
39	"Phil Rosenfelt "	"Secretary of Education (acting)"	""	""	""	""	""	""
40	"Betsy DeVos"	"Secretary of Education"	"2/7/2017"	"x"	"BetsyDeVosED"	""	"828997388920619008"	""
41	"Mick Zais"	"Secretary of Education (acting)"	""	""	""	""	""	""
42	"Robert Snyder"	"Secretary of Veterans Affairs (acting)"	""	""	""	""	""	""
43	"Robert Wilkie"	"Secretary of Veterans Affairs"	"7/23/2018"	"x"	"SecWilkie"	""	"1024390184090181633"	""
44	"Peter O'Rourke"	"Secretary of Veterans Affairs (acting)"	""	""	""	""	""	""
45	"John Kelly"	"Secretary of Homeland Security"	""	""	""	""	""	""
46	"Elaine Duke"	"Secretary of Homeland Security (acting)"	""	""	""	""	""	""
47	"Kirstjen Nielsen"	"Secretary of Homeland Security"	"12/5/2017"	"x"	"SecNielsen"	""	"935148134505828353"	""
48	"Kevin McAleenan"	"Secretary of Homeland Security (acting)"	""	""	""	""	""	""
49	"Chad Wolf"	"Secretary of Homeland Security (acting)"	""	""	""	""	""	""
50	"Pete Gaynor"	"Secretary of Homeland Security (acting)"	""	""	""	""	""	""
51	"Reince Priebus"	"White House Chief of Staff"	""	""	""	""	""	""
52	"John Kelly"	"White House Chief of Staff"	""	""	""	""	""	""
53	"Mike Mulvaney"	"White House Chief of Staff (acting)"	""	""	""	""	""	""
54	"Mark Meadows"	"White House Chief of Staff"	""	""	""	""	""	""
55	"Maria Pagan"	"United States Trade Representative (acting)"	""	""	""	""	""	""
56	"Stephen Vaughn "	"United States Trade Representative (acting)"	""	""	""	""	""	""
57	"Robert Lighthizer"	"United States Trade Representative"	"5/11/2017"	"x"	"?"	""	""	""
58	"Mike Dempsey"	"Director of National Intelligence (acting)"	""	""	""	""	""	""
59	"Dan Coats"	"Director of National Intelligence"	""	""	""	""	""	""
60	"Joseph Maguire"	"Director of National Intelligence (acting)"	""	""	""	""	""	""
61	"Richard Grenell"	"Director of National Intelligence (acting)"	""	""	""	""	""	""
62	"John Lee Ratcliffe"	"Director of National Intelligence"	"5/21/2020"	"x"	"?"	""	""	""
63	"Michele Sison"	"Ambassador to the United Nations (acting)"	""	""	""	""	""	""
64	"Nikki Haley"	"Ambassador to the United Nations"	""	""	""	""	""	""
65	"Jonathan Cohen"	"Ambassador to the United Nations (acting)"	""	""	""	""	""	""
66	"Kelly Knight Craft"	"Ambassador to the United Nations"	"7/31/2019"	"x"	"KellyCraftKY"	""	"1348094562980548608"	""
67	"Mark Sandy"	"Director of the Office of Management and Budget (acting)"	""	""	""	""	""	""
68	"Mick Mulvaney"	"Director of the Office of Management and Budget"	"2/16/2017"	"x"	"MickMulvaney"	""	"1278677862934085635"	""
69	"Russell Vought"	"Director of the Office of Management and Budget (acting)"	"7/20/2020"	"x"	"RussVought45"	""	"969218051555184640"	""
70	"Meroe Park "	"Director of the Central Intelligence Agency (acting)"	""	""	""	""	""	""
71	"Mike Pompeo"	"Director of the Central Intelligence Agency"	""	""	""	""	""	""
72	"Gina Haspel"	"Director of the Central Intelligence Agency"	"5/17/2018"	"x"	"?"	""	""	""
73	"Catherine McCabe"	"Adminstrator of the Environmental Protection Agency (acting)"	""	""	""	""	""	""
74	"Scott Pruitt"	"Adminstrator of the Environmental Protection Agency"	""	""	""	""	""	""
75	"Andrew Wheeler"	"Adminstrator of the Environmental Protection Agency"	"2/28/2019"	"x"	"EPAAWheeler"	""	"832672006113931269"	""
76	"Joseph Loddo"	"Adminstrator of the Small Business Adminstration (acting)"	""	""	""	""	""	""
77	"Linda McMahon"	"Adminstrator of the Small Business Adminstration"	""	""	""	""	""	""
78	"Chris Pilkerton"	"Adminstrator of the Small Business Adminstration (acting)"	""	""	""	""	""	""
79	"Jovita Carranza"	"Adminstrator of the Small Business Adminstration"	"1/7/2020"	"x"	"SBAJovita"	""	"1204850195546161153"	""
