user_id	screen_name	account_type	political_affiliation	display_name
1003672320781807616	GovParsonMO	Political - Elected Official	Republican / Right	Governor Mike Parson
1006419421244678144	GretaThunberg	Political - Other	Democrat / Left	Greta Thunberg
1009577803304656896	itsJeffTiedrich	Political - Other	Democrat / Left	Jeff Tiedrich
101005636	travisakers	Political - Other	Democrat / Left	Travis Akers
1011741185839333376	Relentlessbored	Political - Other	Democrat / Left	Brett
1011970623470489601	DWUhlfelderLaw	Political - Other	Democrat / Left	Daniel Uhlfelder
102071743	GovWhitmer	Political - Elected Official	Democrat / Left	Governor Gretchen Whitmer
1023196198537232386	Richard04310134	Political - Other	Republican / Right	One Voice
1040058893907513344	GovLauraKelly	Political - Elected Official	Democrat / Left	Governor Laura Kelly
104198706	GovernorVA	Political - Elected Official	Democrat / Left	Ralph Northam
1043185714437992449	catturd2	Political - Other	Republican / Right	Catturd ™
1051396218	EvanMcMullin	Political - Other	Republican / Right	Evan McMullin
1055907624	joekennedy	Political - Elected Official	Democrat / Left	Rep. Joe Kennedy III
1058807868	GovRonDeSantis	Political - Elected Official	Republican / Right	Ron DeSantis
1060487274	RepDougCollins	Political - Elected Official	Republican / Right	Rep. Doug Collins
1064603540956565504	GovTimWalz	Political - Elected Official	Democrat / Left	Governor Tim Walz
1064659902071808000	GovKemp	Political - Elected Official	Republican / Right	Governor Brian P. Kemp
1070083706822438912	GovMLG	Political - Elected Official	Democrat / Left	Michelle Lujan Grisham
1074480192	SenTedCruz	Political - Elected Official	Republican / Right	Senator Ted Cruz
1075121162743676928	H_MitchellPhoto	Political - Other	Democrat / Left	Hamish Mitchell
1076293903723233280	GovNedLamont	Political - Elected Official	Democrat / Left	Governor Ned Lamont
1077214808	GovInslee	Political - Elected Official	Democrat / Left	Governor Jay Inslee
1078457644736827392	RobertCooper58	Political - Other	Democrat / Left	Robert Cooper
1079776144524754944	NikkiHaley	Political - Elected Official	Republican / Right	Nikki Haley
1080586433088258048	GovSisolak	Political - Elected Official	Democrat / Left	Governor Sisolak
1080894931311431682	RepDanCrenshaw	Political - Elected Official	Republican / Right	Rep. Dan Crenshaw
1081222837459996672	RepKatiePorter	Political - Elected Official	Democrat / Left	Rep. Katie Porter
1081334766924754944	GovernorGordon	Political - Elected Official	Republican / Right	Governor Mark Gordon
1082334352711790593	Ilhan	Political - Elected Official	Democrat / Left	Rep. Ilhan Omar
1083795319027089408	GovJanetMills	Political - Elected Official	Democrat / Left	Governor Janet Mills
1084817523378454529	GovPritzker	Political - Elected Official	Democrat / Left	Governor JB Pritzker
1084924525232513025	GovBillLee	Political - Elected Official	Republican / Right	Gov. Bill Lee
1090715513586679813	JoshuaPotash	Political - Other	Democrat / Left	Joshua Potash
