"","screen_name","user_id"
"1","briebriejoy",1332630685
"2","virgiltexas",15970820
"3","willmenaker",1450298610
"4","DavidKlion",25466022
"5","ByYourLogic",4726207589
"6","ryangrim",16170253
"7","KyleKulinski",143104075
"8","BenjaminPDixon",2949261587
"9","krystalball",21862217
"10","kenklippenstein",1634248890
"11","cushbomb",21970248
"12","ryanlcooper",214120461
"13","ninaturner",188793260
"14","alexnpress",2789857374
"15","ebruenig",1471542956
"16","JordanUhl",68752979
"17","adamjohnsonNYC",756331316
"18","MattBruenig",327337127
"19","mtaibbi",38271276
"20","davidsirota",14855994
"21","NaomiAKlein",189376144
"22","sunraysunray",33805522
"23","SamSeder",15473574
"24","meaganmday",547007735
"25","kthalps",15859912
"26","chrislhayes",4207961
"27","NathanJRobinson",197080008
"28","SeanMcElwee",318692762
"29","MMFlint",20479813
"30","hasanthehun",326756275
"31","drmistercody",36618079
"32","NomikiKonst",16879936
"33","HeerJeet",604940737
"34","cenkuygur",429227921
"35","micahuetricht",195631270
"36","LukewSavage",283258239
"37","ggreenwald",16076032
"38","nataliesurely",243800816
"39","profwolff",78768913
"40","CornelWest",36743910
"41","KateAronoff",637196658
"42","shaunking",755113
"43","jbouie",14190948
"44","ashleyfeinberg",165944767
"45","jeremyscahill",23839835
"46","Trillburne",322430128
"47","libbycwatson",26579715
"48","feraljokes",18194194
"49","EoinHiggins_",277880167
"50","RBReich",148529707
"51","MaxBlumenthal",53789862
"52","AnaKasparian",23865382
"53","robrousseau",18000989
"54","ezraklein",18622869
"55","DavidCornDC",15220768
"56","pareene",50149303
"57","CarlBeijer",913252447
"58","AnandWrites",24889586
"59","liz_franczak",21926927
"60","peterdaou",18464266
"61","EmmaVigeland",7.42453e+17
"62","jamie_elizabeth",17985093
"63","lhfang",7900962
"64","deep_beige",605556917
"65","PrettyBadLefty",7.53006e+17
"66","mehdirhasan",130557513
"67","onesarahjones",113250460
"68","davidaxelrod",244655353
"69","maddow",16129920
"70","crulge",14887636
"71","mattyglesias",15446531
"72","aaronjmate",153517357
"73","atrupar",288277167
"74","jonfavs",130496027
"75","shaun_vids",7.55024e+17
"76","gaywonk",323599188
"77","KrangTNelson",4517565515
"78","GunnelsWarren",2725669979
"79","aidachavez",1672053968
"80","WalkerBragman",479724576
"81","WideAsleepNima",218597735
"82","BreeNewsome",110326494
"83","elivalley",23985504
"84","shujaxhaider",18432426
"85","ZephyrTeachout",15467700
"86","MattBinder",14931637
"87","matthewstoller",2030711
"88","GarbageApe",7.38007e+17
"89","ProudSocialist",7.55058e+17
"90","johniadarola",25694156
"91","Lawrence",158426909
"92","TVietor08",155784594
"93","ContraPoints",27938182
"94","BrandyLJensen",3099901028
"95","InternetHippo",19638752
"96","pattymo",2328421
"97","Econ_Marshall",2496925550
"98","DanielDenvir",226963044
"99","iPhilSomething",55080227
"100","CoreyRobin",38413836
"101","SethAbramson",3223426134
"102","_waleedshahid",329115426
"103","danpfeiffer",2922928743
"104","JoyAnnReid",49698134
"105","karpmj",226344061
"106","classiclib3ral",8.13554e+17
"107","alexandrasiera",7.94963e+17
"108","jackcalifano",7.76122e+17
"109","AyoCaesar",619050616
"110","AdamFriedland",291762556
"111","kath_krueger",228990510
"112","rcbregman",200514238
"113","J_ManPrime21",127398666
"114","profdavidharvey",84944278
"115","AbbyMartin",24258355
"116","GrimKim",15814350
"117","MattLech",14980220
"118","nhannahjones",25598396
"119","jonathanchait",50446226
"120","RaniaKhalek",37501003
"121","RealTimBlack",1013374544
"122","RevDrBarber",2400284491
"123","davidhogg111",1915033663
"124","BenBurgis",1.00627e+18
"125","shoe0nhead",1733467884
"126","franifio",547114168
"127","esglaude",180535644
"128","KeeangaYamahtta",148192924
"129","SamAdlerBell",142386580
"130","MarkAmesExiled",38214152
"131","daviddoel",18805188
"132","fshakir",7868832
"133","ddayen",7864222
"134","paulkrugman",17006157
"135","AdamSerwer",16326882
"136","brhodes",8.20354e+17
"137","MollyJongFast",14298769
"138","jaketapper",14529929
"139","DrDooleyMD",2917736960
"140","JordanChariton",113364160
"141","gtconway3d",471677441
"142","DanRather",36711022
"143","brianbeutler",21696279
"144","marclamonthill",20068679
"145","jaboukie",319769408
"146","RespectableLaw",8.6332e+17
"147","jaredlholt",2885543426
"148","EmilyGorcenski",1483064670
"149","ChrisLynnHedges",759786534
"150","MalaikaJabali",155260599
"151","anastasiakeeley",118938550
"152","BronzeHammer",36195015
"153","nycsouthpaw",22429979
"154","dpakman",21514744
"155","PreetBharara",8.34082e+17
"156","JoyceWhiteVance",548384458
"157","AntiFashGordon",1.03882e+18
"158","KevinMKruse",3060489838
"159","RoseAnnDeMoro",573842268
"160","samstein",15463671
"161","brianstelter",14515799
"162","BillKristol",2800581040
"163","maggieNYT",93069110
"164","ElieNYC",40353407
"165","esaagar",408806531
"166","leslieleeiii",36517491
"167","jackallisonLOL",18497157
"168","shannonrwatts",246939630
"169","billmckibben",21786618
"170","bad_takes",3344423229
"171","JAdomian",368448364
"172","david_j_roth",171346034
"173","allahliker",1.15517e+18
"174","zei_squirrel",2786053933
"175","ConnorSouthard",1097291030
"176","BenjaminNorton",852269288
"177","EricLevitz",825713234
"178","chick_in_kiev",595245502
"179","LizardRumsfeld",384993861
"180","cascamike",338779219
"181","nkulw",253586885
"182","VanJones68",131497030
"183","proustmalone",114232540
"184","OwenJones84",65045121
"185","Hbomberguy",29472053
"186","lsarsour",27187343
"187","pblest",22529203
"188","andrewperezdc",21579498
"189","MattBors",15161984
"190","mcbyrne",14372270
"191","daveweigel",13524182
"192","BethLynch2020",8.29715e+17
"193","pixelatedboat",2999158160
"194","waltshaub",8.30908e+17
"195","bourgeoisalien",2396910715
"196","jemelehill",35586563
"197","KatyTurNBC",39000115
"198","MaxBoot",28162211
"199","JoeNBC",21619519
"200","mtracey",24127811
"201","JabariBrisport",8.33867e+17
"202","NateSilver538",16017475
"203","davidfrum",18686907
"204","Redistrict",74820061
"205","Nate_Cohn",463765807
"206","TheRickWilson",19084896
"207","jbarro",16244449
"208","PhilipRucker",59331128
"209","benjaminwittes",186667011
"210","SteveSchmidtSES",7.8631e+17
"211","NatashaBertrand",372536101
"212","tribelaw",4091551984
"213","peterbakernyt",123327472
"214","RadioFreeTom",459872442
"215","DavidAFrench",240107748
"216","JRubinBlogger",218975278
"217","ananavarro",19568591
"218","matthewamiller",55948054
"219","joshtpm",21268897
"220","seungminkim",19186003
"221","chucktodd",50325797
"222","neal_katyal",7.80206e+17
"223","NicolleDWallace",860555190
"224","ThePlumLineGS",20508720
"225","ForecasterEnten",138141495
"226","SykesCharlie",95463107
"227","jonlovett",174110843
"228","CillizzaCNN",14412533
"229","JonahDispatch",71627462
"230","matthewjdowd",288363743
"231","Timodc",21348880
"232","HotlineJosh",21612122
"233","JakeSherman",21252618
"234","RyanLizza",80617430
"235","TimAlberta",184860130
"236","jheil",14251225
"237","alexburnsNYT",79743108
"238","amyewalter",50073507
"239","Susan_Hennessey",7855062
"240","DouthatNYT",546135718
"241","JuddLegum",15464697
"242","Popehat",18839937
"243","conor64",14046504
"244","LarrySabato",21313053
"245","yashar",11744152
"246","dandrezner",75797367
"247","JonLemire",182398325
"248","saletan",83374478
"249","SallyQYates",8.75029e+17
"250","ianbremmer",60783724
"251","JeffreyGoldberg",47448886
"252","AshaRangappa_",510464011
"253","AsteadWesley",362111287
"254","nickconfessore",258885469
"255","abbydphillip",126722715
"256","jwgop",532690100
"257","McFaul",454099919
"258","RonBrownstein",731167584
"259","RWPUSA",2863996955
"260","ASlavitt",1383272101
"261","MalcolmNance",2573480784
"262","SeanTrende",125375423
"263","sullydish",331816614
"264","AliVelshi",16378486
"265","jonkarl",15931637
"266","sarahkendzior",47475039
"267","stuartpstevens",1543986138
"268","anniekarni",309282144
"269","benyt",9532402
"270","emptywheel",15985111
"271","jimsciutto",22129280
"272","neeratanden",125453969
"273","PaulBegala",352548417
"274","pbump",950531
"275","charlescwcooke",233484761
"276","FrankLuntz",197496309
"277","juliaioffe",71048726
"278","soledadobrien",26548315
"279","GeorgeWill",2255182597
"280","HallieJackson",37590426
"281","kkondik",251627765
"282","NoahCRothman",168531961
"283","AdamParkhomenko",18382184
"284","billscher",14246055
"285","EliStokols",75939860
"286","EvanMcMullin",1051396218
"287","murphymike",20786801
"288","NormEisen",1965420800
"289","AmbassadorRice",8.20379e+17
"290","benshapiro",17995040
"291","gelliottmorris",57029492
"292","ktumulty",14270650
"293","mollyesque",130945778
"294","NormOrnstein",2223157392
"295","renato_mariotti",7.59482e+17
"296","SRuhle",382685028
"297","willwilkinson",2568461
"298","BenjySarlin",16006592
"299","blakehounshell",17243582
"300","DavidJollyFL",2178681566
"301","edokeefe",16930125
"302","EJDionne",453319164
"303","GlennKesslerWP",235196204
"304","MEPFuller",398088661
"305","cjane87",15195539
"306","ClareMalone",43360950
"307","JaneMayerNYer",561516853
"308","Mimirocah1",7.74408e+17
"309","nytdavidbrooks",633980404
"310","asymmetricinfo",16353245
"311","BarbMcQuade",20094409
"312","mckaycoppins",21431618
"313","Noahpinion",281877818
"314","RichLowry",40116885
"315","stephenfhayes",69773058
"316","BrendanNyhan",84653850
"317","funder",14247236
"318","HeidiNBC",234186830
"319","IsaacDovere",115564212
"320","JohnWDean",160010755
"321","sbg1",31037199
"322","BeschlossDC",874916178
"323","brianefallon",42995067
"324","davidplouffe",1111940934
"325","FrankFigliuzzi1",9.29823e+17
"326","IgnatiusPost",423631401
"327","mmurraypolitics",92079350
"328","RameshPonnuru",305189255
"329","apalmerdc",77032777
"330","BillGalston",1968918331
"331","greenfield64",262223982
"332","JillWineBanks",454071012
"333","kurteichenwald",215207998
"334","MarkHalperin",184136149
"335","nytmike",17436250
"336","TimOBrien",20742461
"337","CharlesMBlow",20772763
"338","jayrosen_nyu",14834340
"339","joshrogin",15766082
"340","mattklewis",16887628
"341","NickKristof",17004618
"342","rachaelmbade",167024520
"343","rickklein",18172905
"344","AriBerman",15952856
"345","ChrisCuomo",22799750
"346","crampell",14348157
"347","DamonLinker",475957325
"348","jdickerson",4119741
"349","baseballcrank",38021361
"350","ElectProject",808108063
"351","glennkirschner2",1.00311e+18
"352","NoahShachtman",15728161
"353","SamanthaJPower",8.18283e+17
"354","secupp",19268706
"355","amandacarpenter",14844867
"356","JamesFallows",24789175
"357","jelani9",14155907
"358","MattGertz",55376380
"359","MichaelSteele",50317463
"360","MikeGrunwald",52521572
